พื้นที่,เนื้อที่ยืนต้นทั้งหมด,,,ผลผลิตที่เก็บเกี่ยวได้
,(ไร่),,,(กิโลกรัม)
,ให้ผลผลิต,ยังไม่ให้ผล,รวม (ไร่),
,,,,
ปาล์มน้ำมัน,"3,500.00",23,"3,523.00","85,487,330.00"
ยางพารา,"45,022.00","4,696.00","49,718.00","64,150,693.50"
แก่งหางแมว,"212,627.98","28,662.06","241,290.04","48,130,799.50"
ไม้ผล,"17,347.52","8,440.31","25,787.83","23,164,716.00"
กระท้อน,5,10,15,"14,500.00"
กล้วยไข่,732,92,824,"912,217.00"
กล้วยน้ำว้า,405.25,76,481.25,"382,667.00"
กล้วยหอม,61,0,61,"48,828.00"
ขนุนหนัง,657,307.5,964.5,"841,340.00"
เงาะ,"2,261.00",128,"2,389.00","2,115,975.00"
ทุเรียน,"6,596.00","4,779.25","11,375.25","13,861,205.00"
ฝรั่ง,5.05,13.5,18.55,"1,248.00"
มะนาว,152.72,22.56,175.28,"24,711.00"
มะปรางหวาน,1,0,1,0
มะม่วง,50,0,50,"65,250.00"
มะยงชิด,12,0,12,"7,200.00"
มะละกอ,48,0,48,"160,395.00"
มังคุด,"2,576.00",853,"3,429.00","2,084,390.00"
ลองกอง,"1,689.00",892,"2,581.00","1,238,790.00"
ลำไย,"1,975.00","1,265.00","3,240.00","1,345,720.00"
สละ,121.5,1.5,123,"60,280.00"
ไม้ยืนต้น,"194,650.50","19,916.25","214,566.75","24,821,258.50"
ปาล์มน้ำมัน,"7,043.50",546.25,"7,589.75","9,247,900.00"
มะม่วงหิมพานต์,560,23,583,"355,400.00"
ยางพารา,"187,047.00","18,440.00","205,487.00","15,217,958.50"
ยูคาลิปตัส,0,907,907,0
สมุนไพรและเครื่องเทศ (รต.02),629.96,305.5,935.46,"144,825.00"
กฤษณา,0,265,265,0
พริกไทย,629.96,40.5,670.46,"144,825.00"
นายายอาม,"69,092.00","14,813.00","83,905.00","55,496,349.00"
ไม้ผล,"21,951.00","4,053.00","26,004.00","31,858,373.00"
กล้วยไข่,"1,027.00",0,"1,027.00","3,186,213.00"
กล้วยน้ำว้า,80,0,80,"173,199.00"
ขนุนหนัง,50,25,75,"192,940.00"
เงาะ,"3,706.00",190,"3,896.00","5,023,095.00"
ทุเรียน,"6,695.00","2,859.00","9,554.00","13,910,260.00"
มะไฟ,86,0,86,"51,000.00"
มะละกอ,264,50,314,"1,281,243.00"
มังคุด,"5,539.00",472,"6,011.00","5,112,073.00"
ลองกอง,"3,529.00",133,"3,662.00","1,211,108.00"
ลำไย,455,324,779,"497,525.00"
สละ,520,0,520,"1,219,717.00"
ไม้ยืนต้น,"44,260.00","10,609.00","54,869.00","22,494,976.00"
ปาล์มน้ำมัน,369,67,436,"6,654,096.00"
มะพร้าว,75,0,75,"7,740.00"
ยางพารา,"43,768.00","10,542.00","54,310.00","15,829,110.00"
หมาก,48,0,48,"4,030.00"
สมุนไพรและเครื่องเทศ (รต.02),"2,881.00",151,"3,032.00","1,143,000.00"
พริกไทย,"2,881.00",151,"3,032.00","1,143,000.00"
เขาคิชฌกูฏ,"119,620.50","11,394.00","131,014.50","32,233,475.00"
ไม้ผล,"72,444.50","10,242.00","82,686.50","31,426,875.00"
กระท้อน,45,2,47,0
กล้วยไข่,"3,907.00",601,"4,508.00","5,490,375.00"
กล้วยน้ำว้า,144,0,144,"118,846.00"
กล้วยหอม,125.5,13,138.5,"195,465.00"
ขนุนหนัง,200,128,328,"128,800.00"
เงาะ,"11,104.00",178,"11,282.00","575,620.00"
ชมพู่,14,8,22,0
ทุเรียน,"30,867.00","7,925.00","38,792.00","24,008,045.00"
ฝรั่ง,1,0,1,0
มะนาว,70,3,73,500
มะปรางหวาน,23,12,35,0
มะไฟ,51,25,76,0
มะม่วง,2,7,9,0
มะยงชิด,27,0,27,0
มะละกอ,43,2,45,"15,300.00"
มังคุด,"20,360.00",758,"21,118.00","318,750.00"
ระกำ,5,0,5,0
ลองกอง,"3,400.00",178,"3,578.00","24,000.00"
ลำไย,"1,653.00",374,"2,027.00","41,580.00"
สละ,403,28,431,"509,594.00"
ไม้ยืนต้น,"46,515.00",883,"47,398.00","796,800.00"
โกโก้,3,10,13,0
ปาล์มน้ำมัน,"2,329.00",74,"2,403.00","242,546.00"
มะพร้าว,3,3,6,0
มะม่วงหิมพานต์,58,9,67,0
ยางพารา,"44,042.00",730,"44,772.00","538,654.00"
หมาก,80,32,112,"15,600.00"
ไม้ยืนต้นอื่นๆ,0,25,25,0
สมุนไพรและเครื่องเทศ (รต.02),661,269,930,"9,800.00"
กฤษณา,0,261,261,0
พริกไทย,661,8,669,"9,800.00"
ฉะเชิงเทรา,"223,199.69","85,388.96","308,588.65","140,041,931.52"
เมืองฉะเชิงเทรา,"9,463.25","2,681.00","12,144.25","12,110,648.00"
ไม้ผล,"2,440.50",631,"3,071.50","2,851,230.00"
กล้วยน้ำว้า,599,159,758,"962,460.00"
กล้วยหอม,321,8,329,"522,450.00"
มะนาว,258.5,24,282.5,"716,520.00"
มะม่วง,"1,204.00",440,"1,644.00","363,800.00"
มะละกอ,58,0,58,"286,000.00"
ไม้ยืนต้น,"6,988.75","2,050.00","9,038.75","9,171,518.00"
ปาล์มน้ำมัน,21.75,68.5,90.25,0
มะพร้าว,"4,793.00","1,920.50","6,713.50","8,001,968.00"
ยางพารา,0,17,17,0
หมาก,"2,174.00",44,"2,218.00","1,169,550.00"
สมุนไพรและเครื่องเทศ (รต.02),34,0,34,"87,900.00"
พลู,34,0,34,"87,900.00"
บางคล้า,"12,863.75","3,202.00","16,065.75","22,051,130.00"
ไม้ผล,"7,631.00",997,"8,628.00","13,530,030.00"
กระท้อน,10,0,10,20
กล้วยน้ำว้า,438,50,488,"388,300.00"
กล้วยหอม,4,0,4,"2,400.00"
น้อยหน่า,4,4,8,0
พุทรา,20,0,20,"1,700.00"
มะขาม,17,0,17,0
มะม่วง,"7,133.00",943,"8,076.00","13,129,590.00"
มะละกอ,5,0,5,"8,020.00"
ไม้ยืนต้น,"5,075.75","2,205.00","7,280.75","8,458,000.00"
ตาลโตนด,50,0,50,"13,000.00"
ปาล์มน้ำมัน,272.75,23,295.75,"1,329,300.00"
มะพร้าว,"3,193.00","1,193.00","4,386.00","6,124,200.00"
ยางพารา,0,36,36,0
ยูคาลิปตัส,20,110,130,"8,000.00"
สะเดา,30,0,30,0
หมาก,"1,510.00",843,"2,353.00","983,500.00"
ไผ่,0,0,0,0
สมุนไพรและเครื่องเทศ (รต.02),157,0,157,"63,100.00"
พลู,157,0,157,"63,100.00"
บางน้ำเปรี้ยว,"3,850.69",87,"3,937.69","3,348,414.00"
ไม้ผล,"1,791.00",0,"1,791.00","763,200.00"
กระท้อน,20,0,20,0
กล้วยน้ำว้า,437,0,437,"699,200.00"
มะนาว,16,0,16,"64,000.00"
มะปรางหวาน,2,0,2,0
มะม่วง,"1,315.00",0,"1,315.00",0
ส้มโอ,1,0,1,0
ไม้ยืนต้น,"2,059.69",87,"2,146.69","2,585,214.00"
ปาล์มน้ำมัน,744.69,65,809.69,"392,814.00"
มะพร้าว,"1,288.00",0,"1,288.00","2,187,800.00"
ยางพารา,24,18,42,600
ยูคาลิปตัส,3,3,6,"4,000.00"
ไม้ยืนต้นอื่นๆ,0,1,1,0
บางปะกง,695.75,200.5,896.25,"405,042.50"
ไม้ผล,461,200.5,661.5,"314,112.50"
กล้วยน้ำว้า,147,20,167,"289,224.00"
มะกรูด,4,4,8,300
มะขาม,9,9,18,185
มะขามเทศ,37,0,37,"14,922.00"
มะนาว,5,26,31,"2,700.00"
มะม่วง,259,141.5,400.5,"6,781.50"
ไม้ยืนต้น,234.75,0,234.75,"90,930.00"
มะพร้าว,234.75,0,234.75,"90,930.00"
บ้านโพธิ์,990,526,"1,516.00","9,955,000.00"
ไม้ผล,526,526,"1,052.00","328,600.00"
มะขามเทศ,40,40,80,"37,000.00"
มะม่วง,486,486,972,"291,600.00"
ไม้ยืนต้น,464,0,464,"9,626,400.00"
มะพร้าว,464,0,464,"9,626,400.00"
พนมสารคาม,"10,959.00","3,784.00","14,743.00","23,789,669.71"
ไม้ผล,"3,240.00",249,"3,489.00","1,313,555.00"
มะนาว,7,0,7,"6,045.00"
มะม่วง,"3,120.00",216,"3,336.00","1,050,860.00"
มะละกอ,83,3,86,"186,650.00"
ลำไย,30,30,60,"70,000.00"
ไม้ยืนต้น,"7,719.00","3,535.00","11,254.00","22,476,114.71"
ปาล์มน้ำมัน,"1,782.00",680,"2,462.00","19,998,480.00"
มะพร้าว,9,5,14,"9,045.00"
ยางพารา,"5,928.00","2,850.00","8,778.00","2,468,589.71"
ราชสาส์น,"1,390.00",730,"2,120.00","866,300.00"
ไม้ผล,"1,337.00",595,"1,932.00","858,500.00"
มะม่วง,"1,337.00",595,"1,932.00","858,500.00"
ไม้ยืนต้น,53,135,188,"7,800.00"
ปาล์มน้ำมัน,53,110,163,"7,800.00"
ยางพารา,0,25,25,0
สนามชัยเขต,"63,981.00","31,662.71","95,643.71",0
ไม้ผล,"3,672.00",435,"4,107.00",0
ขนุนหนัง,0,60,60,0
มะม่วง,"2,815.00",0,"2,815.00",0
ลำไย,857,375,"1,232.00",0
ไม้ยืนต้น,"60,309.00","31,227.71","91,536.71",0
ปาล์มน้ำมัน,"7,117.00","4,036.71","11,153.71",0
ยางพารา,"52,745.00","26,891.00","79,636.00",0
ไผ่,447,300,747,0
แปลงยาว,"26,598.00","5,688.00","32,286.00","39,571,910.31"
ไม้ผล,"3,797.00",934,"4,731.00","25,359,996.00"
ขนุนหนัง,894,894,"1,788.00","4,650,596.00"
มะม่วง,"2,903.00",40,"2,943.00","20,709,400.00"
ไม้ยืนต้น,"22,801.00","4,754.00","27,555.00","14,211,914.31"
ปาล์มน้ำมัน,"3,505.00",816,"4,321.00","11,074,571.00"
ยางพารา,"19,296.00","3,228.00","22,524.00","3,137,343.31"
ยูคาลิปตัส,0,710,710,0
ท่าตะเกียบ,"86,674.25","34,930.75","121,605.00","21,375,545.00"
ไม้ผล,"3,589.75","1,314.50","4,904.25","5,687,512.00"
กระท้อน,28,9,37,"23,000.00"
กล้วยไข่,52,48,100,"40,902.00"
กล้วยน้ำว้า,39,0,39,"64,500.00"
ขนุนหนัง,235,112,347,"718,000.00"
เงาะ,83,28.75,111.75,"16,400.00"
ชมพู่,5,1,6,300
ทุเรียน,42,54.75,96.75,"78,000.00"
น้อยหน่า,3.5,0,3.5,"1,000.00"
ฝรั่ง,8,14,22,"23,240.00"
พุทรา,3,3.25,6.25,0
มะขาม,15,36.5,51.5,"3,200.00"
มะนาว,64.25,53.25,117.5,"44,100.00"
มะม่วง,590,277,867,"759,920.00"
มะยงชิด,18.25,0,18.25,"11,250.00"
มะละกอ,"1,256.00",320,"1,576.00","3,189,600.00"
มังคุด,66.75,0,66.75,"4,500.00"
ลองกอง,51.75,0,51.75,"9,000.00"
ลำไย,"1,002.75",327,"1,329.75","690,000.00"
ลิ้นจี่,1.5,0,1.5,"1,500.00"
ส้มโอ,24,30,54,"8,600.00"
เสาวรส,1,0,1,500
ไม้ยืนต้น,"83,084.50","33,616.25","116,700.75","15,688,033.00"
กาแฟ,90,300,390,0
ปาล์มน้ำมัน,"5,170.00","4,244.00","9,414.00","12,212,878.00"
มะพร้าว,53.5,105.5,159,"144,000.00"
มะม่วงหิมพานต์,673,580,"1,253.00","27,600.00"
ยางพารา,"76,485.00","28,143.75","104,628.75","1,731,855.00"
สะตอ,9,0,9,200
ไผ่,604,243,847,"1,571,500.00"
คลองเขื่อน,"5,734.00","1,897.00","7,631.00","6,568,272.00"
ไม้ผล,772,"1,694.00","2,466.00","506,321.00"
กล้วยน้ำว้า,133,59,192,"10,030.00"
มะนาว,13,6,19,0
มะม่วง,626,"1,629.00","2,255.00","496,291.00"
ไม้ยืนต้น,"4,962.00",203,"5,165.00","6,061,951.00"
ปาล์มน้ำมัน,119,0,119,"16,000.00"
มะพร้าว,"4,398.00",190,"4,588.00","5,932,151.00"
หมาก,445,13,458,"113,800.00"
ชลบุรี,"335,052.00","253,759.12","588,811.12","256,255,208.41"
เมืองชลบุรี,820,"2,253.87","3,073.87","113,070.00"
ไม้ผล,20,273.25,293.25,"2,350.00"
กล้วยน้ำว้า,4,53,57,300
ขนุนหนัง,0,29,29,0
ทุเรียน,0,0.25,0.25,0
ฝรั่ง,0,3,3,0
มะนาว,0,10,10,0
มะม่วง,5,53,58,130
มะละกอ,0,5,5,0
ไม้ผลอื่นๆ,11,120,131,"1,920.00"
ไม้ยืนต้น,800,"1,980.62","2,780.62","110,720.00"
ปาล์มน้ำมัน,0,80.37,80.37,0
มะพร้าว,800,"1,879.00","2,679.00","110,720.00"
ยางพารา,0,21.25,21.25,0
บ้านบึง,"43,359.00","58,498.00","101,857.00","17,500.00"
ไม้ผล,"4,986.00",184,"5,170.00","17,500.00"
กล้วยน้ำว้า,97,19,116,0
ขนุนหนัง,519,9,528,0
ฝรั่ง,15,5,20,"17,500.00"
มะนาว,24,24,48,0
มะม่วง,"4,086.00",80,"4,166.00",0
มะละกอ,242,40,282,0
แก้วมังกร,3,7,10,0
ไม้ยืนต้น,"38,373.00","58,314.00","96,687.00",0
ปาล์มน้ำมัน,"13,446.00","4,242.00","17,688.00",0
มะพร้าว,"9,473.00",244,"9,717.00",0
มะม่วงหิมพานต์,450,0,450,0
ยางพารา,"11,303.00","4,810.00","16,113.00",0
ยูคาลิปตัส,"1,028.00","6,947.00","7,975.00",0
ไม้สัก,0,"4,500.00","4,500.00",0
สะเดา,0,"4,534.00","4,534.00",0
ไผ่,73,324,397,0
ไม้ยืนต้นอื่นๆ,"2,600.00","32,713.00","35,313.00",0
หนองใหญ่,"73,477.00","31,068.00","104,545.00","132,710,151.00"
ไม้ผล,"1,553.00",378,"1,931.00","2,581,850.00"
กระท้อน,31,15,46,"21,600.00"
กล้วยน้ำว้า,172,20,192,"326,300.00"
ขนุนหนัง,205,0,205,"217,500.00"
เงาะ,9,2,11,"1,200.00"
ฝรั่ง,42,11,53,"57,150.00"
มะนาว,22,9,31,"12,600.00"
มะม่วง,334,10,344,"395,000.00"
มะละกอ,413,97,510,"715,500.00"
ลำไย,325,214,539,"835,000.00"
ไม้ยืนต้น,"71,924.00","30,690.00","102,614.00","130,128,301.00"
ปาล์มน้ำมัน,"27,556.00","12,200.00","39,756.00","110,982,852.00"
มะพร้าว,290,94,384,"683,700.00"
มะม่วงหิมพานต์,"5,182.00",0,"5,182.00","1,219,500.00"
ยางพารา,"38,793.00","18,381.00","57,174.00","17,118,249.00"
ไผ่,103,15,118,"124,000.00"
บางละมุง,"18,438.00","1,443.00","19,881.00","7,243,833.00"
ไม้ผล,938,206,"1,144.00","291,700.00"
กล้วยน้ำว้า,29,2.5,31.5,500
กล้วยหอม,0,8,8,0
ขนุนหนัง,215,162,377,"28,200.00"
ทุเรียน,5,5,10,"2,000.00"
มะนาว,3,0,3,400
มะม่วง,658,3,661,"255,100.00"
มะละกอ,2,0,2,0
มังคุด,26,25.5,51.5,"5,500.00"
ไม้ยืนต้น,"17,500.00","1,237.00","18,737.00","6,952,133.00"
ปาล์มน้ำมัน,"1,263.00",179,"1,442.00","4,037,183.00"
มะพร้าว,"9,750.00",60,"9,810.00","2,793,780.00"
มะม่วงหิมพานต์,55,0,55,"15,000.00"
ยางพารา,"6,419.00",998,"7,417.00","106,170.00"
ไผ่,13,0,13,0
พานทอง,"1,552.00",163,"1,715.00","837,224.03"
ไม้ผล,671,140,811,"350,515.00"
กล้วยน้ำว้า,259,0,259,"154,759.00"
มะม่วง,412,140,552,"195,756.00"
ไม้ยืนต้น,881,23,904,"486,709.03"
ปาล์มน้ำมัน,178,0,178,"67,587.00"
มะพร้าว,703,23,726,"419,122.03"
พนัสนิคม,"8,702.50","9,992.00","18,694.50","2,742,060.00"
ไม้ผล,"5,458.50","1,574.00","7,032.50","1,408,060.00"
กระท้อน,2,1,3,0
กล้วยไข่,0,1,1,0
กล้วยน้ำว้า,176,165,341,"1,170,000.00"
ขนุนหนัง,"2,290.00","1,167.00","3,457.00","70,000.00"
ฝรั่ง,4,2,6,0
มะนาว,4,6,10,"4,910.00"
มะม่วง,"2,921.00",184,"3,105.00","144,400.00"
มะละกอ,13,40,53,"16,000.00"
ละมุด,5.5,0,5.5,0
ส้มโอ,40,0,40,0
แก้วมังกร,3,8,11,"2,750.00"
ไม้ยืนต้น,"3,244.00","8,418.00","11,662.00","1,334,000.00"
ปาล์มน้ำมัน,418,543,961,"629,000.00"
มะพร้าว,"1,360.00",35,"1,395.00","705,000.00"
มะม่วงหิมพานต์,218,0,218,0
ยางพารา,541,"2,308.00","2,849.00",0
ยูคาลิปตัส,700,"5,525.00","6,225.00",0
ไผ่,7,7,14,0
ศรีราชา,"30,968.00","4,842.00","35,810.00",0
ไม้ผล,"6,505.00",553,"7,058.00",0
กระท้อน,206,0,206,0
กล้วยน้ำว้า,173,0,173,0
ขนุนหนัง,"1,848.00",105,"1,953.00",0
เงาะ,37,0,37,0
ทุเรียน,69,16,85,0
น้อยหน่า,68,0,68,0
มะเดื่อ,2,0,2,0
มะม่วง,"3,778.00",407,"4,185.00",0
มะละกอ,11,25,36,0
มังคุด,98,0,98,0
ลองกอง,10,0,10,0
ละมุด,61,0,61,0
ลำไย,3,0,3,0
แก้วมังกร,141,0,141,0
ไม้ยืนต้น,"24,463.00","4,289.00","28,752.00",0
ปาล์มน้ำมัน,350,380,730,0
มะพร้าว,"22,362.00",933,"23,295.00",0
มะม่วงหิมพานต์,140,0,140,0
ยางพารา,"1,465.00","2,166.00","3,631.00",0
ยูคาลิปตัส,0,810,810,0
ไผ่,146,0,146,0
เกาะสีชัง,0.5,0,0.5,0
ไม้ผล,0.5,0,0.5,0
มะนาว,0.5,0,0.5,0
สัตหีบ,"14,273.00","5,455.25","19,728.25","2,047,321.22"
ไม้ผล,"5,437.00","2,441.25","7,878.25","1,899,146.98"
กระท้อน,484,70,554,"34,650.00"
กล้วยน้ำว้า,605,229,834,"139,419.20"
ขนุนหนัง,625,276,901,"700,070.00"
เงาะ,4,1,5,"3,332.00"
ทุเรียน,24,5,29,"14,007.00"
น้อยหน่า,5,13,18,0
มะม่วง,"3,527.00","1,313.00","4,840.00","983,899.00"
มะละกอ,73,69.25,142.25,"19,789.00"
มังคุด,4,1,5,"2,787.50"
ละมุด,0,4,4,0
ลำไย,10,15,25,0
ส้มโอ,14,32,46,0
องุ่น,50,400,450,0
แก้วมังกร,12,13,25,"1,193.28"
ไม้ยืนต้น,"8,836.00","3,014.00","11,850.00","148,174.24"
ปาล์มน้ำมัน,27,23,50,0
มะพร้าว,"8,104.00","1,397.00","9,501.00","136,568.80"
ยางพารา,255,455,710,"11,605.44"
ยูคาลิปตัส,450,430,880,0
ไม้ยืนต้นอื่นๆ,0,709,709,0
บ่อทอง,"118,748.00","109,518.00","228,266.00","51,874,249.16"
ไม้ผล,"4,432.00",609,"5,041.00","1,591,900.00"
กระท้อน,21,19,40,0
กล้วยไข่,12,0,12,400
กล้วยน้ำว้า,"1,861.00",0,"1,861.00","1,520,900.00"
ขนุนหนัง,789,27,816,0
เงาะ,52,12,64,"5,200.00"
ทุเรียน,108,7,115,"21,600.00"
มะม่วง,894,346,"1,240.00","34,800.00"
มะละกอ,20,0,20,"6,500.00"
มังคุด,529,90,619,0
ลองกอง,132,31,163,0
ลำไย,6,75,81,"2,500.00"
สละ,8,2,10,0
ไม้ยืนต้น,"114,316.00","108,909.00","223,225.00","50,282,349.16"
ปาล์มน้ำมัน,"30,017.00","10,769.00","40,786.00","22,084,454.00"
มะพร้าว,518,8,526,"565,100.00"
มะม่วงหิมพานต์,"3,510.00",123,"3,633.00",0
ยางพารา,"77,695.00","26,587.00","104,282.00","24,341,195.16"
ยูคาลิปตัส,"2,368.00","68,730.00","71,098.00","2,880,000.00"
ไผ่,208,0,208,"411,600.00"
ไม้ยืนต้นอื่นๆ,0,"2,692.00","2,692.00",0
เกาะจันทร์,"24,714.00","30,526.00","55,240.00","58,669,800.00"
ไม้ผล,"3,006.00","1,650.00","4,656.00","2,118,000.00"
กล้วยน้ำว้า,445,322,767,"656,000.00"
ขนุนหนัง,669,656,"1,325.00","558,000.00"
ทุเรียน,2,2,4,0
มะนาว,100,180,280,"96,000.00"
มะม่วง,"1,570.00",215,"1,785.00","806,000.00"
ลองกอง,110,165,275,0
ลำไย,110,110,220,"2,000.00"
ไม้ยืนต้น,"21,708.00","28,876.00","50,584.00","56,551,800.00"
ปาล์มน้ำมัน,"2,195.00","3,920.00","6,115.00","35,563,800.00"
มะพร้าว,414,360,774,"2,304,000.00"
มะม่วงหิมพานต์,929,950,"1,879.00","5,767,780.00"
ยางพารา,"14,187.00","5,471.00","19,658.00","246,220.00"
ยูคาลิปตัส,"3,800.00","17,456.00","21,256.00","12,440,000.00"
ไม้สัก,0,298,298,0
ไผ่,128,111,239,"150,000.00"
ตะกู,55,310,365,"80,000.00"
ชัยนาท,"14,042.90","10,225.35","24,268.25","16,440,825.33"
เมืองชัยนาท,"3,829.75","3,680.00","7,509.75","1,199,940.00"
ไม้ผล,"3,790.75","3,637.00","7,427.75","1,196,840.00"
กระท้อน,30,21,51,"4,000.00"
กล้วยน้ำว้า,"2,326.00","2,753.00","5,079.00","966,130.00"
กล้วยหอม,50,55,105,"15,750.00"
ขนุนหนัง,18,36,54,"17,780.00"
ฝรั่ง,16.5,30,46.5,"9,600.00"
มะขาม,4,4,8,450
มะนาว,441,359,800,"65,830.00"
มะปรางหวาน,0,10,10,0
มะม่วง,404,233,637,"34,500.00"
มะละกอ,47,47,94,200
ส้มโอ,454.25,85,539.25,"82,600.00"
ไม้ผลอื่นๆ,0,4,4,0
ไม้ยืนต้น,39,43,82,"3,100.00"
ปาล์มน้ำมัน,18,0,18,"2,000.00"
มะพร้าว,0,20,20,0
ยางพารา,6,8,14,0
ไผ่,15,15,30,"1,100.00"
มโนรมย์,"2,179.25","1,232.00","3,411.25","1,494,029.00"
ไม้ผล,"2,155.00","1,073.00","3,228.00","1,263,679.00"
กระท้อน,117,0,117,"2,000.00"
กล้วยน้ำว้า,673,178,851,"257,600.00"
ทุเรียน,5,24,29,0
ฝรั่ง,6,1,7,"4,800.00"
มะนาว,301,58,359,"235,079.00"
มะปรางหวาน,137,0,137,500
มะม่วง,200,169,369,"9,600.00"
มะละกอ,7,49,56,"4,000.00"
มังคุด,0,3,3,0
ส้มเขียวหวาน,95,261,356,"407,500.00"
ส้มโอ,614,330,944,"342,600.00"
ไม้ยืนต้น,24.25,159,183.25,"230,350.00"
ปาล์มน้ำมัน,8.25,0,8.25,"33,750.00"
มะพร้าว,0,8,8,0
ยางพารา,0,20,20,0
ยูคาลิปตัส,14,131,145,"196,000.00"
หม่อน,2,0,2,600
วัดสิงห์,589.45,"1,029.30","1,618.75","445,995.00"
ไม้ผล,144.5,53,197.5,"128,300.00"
กล้วยหอม,5,0,5,"6,600.00"
มะนาว,46,0,46,"11,700.00"
มะม่วง,6,0,6,0
ส้มโอ,87.5,53,140.5,"110,000.00"
ไม้ยืนต้น,443.7,976.3,"1,420.00","316,570.00"
ปาล์มน้ำมัน,93.7,106.3,200,"316,570.00"
ยางพารา,350,870,"1,220.00",0
สมุนไพรและเครื่องเทศ (รต.02),1.25,0,1.25,"1,125.00"
พริกไทย,1.25,0,1.25,"1,125.00"
สรรพยา,"1,529.00",278,"1,807.00","8,389,280.00"
ไม้ผล,"1,447.00",262,"1,709.00","8,365,900.00"
กระท้อน,2,0,2,700
กล้วยน้ำว้า,792,200,992,"5,705,670.00"
มะกรูด,40,0,40,"55,200.00"
มะนาว,256,4,260,"2,043,190.00"
มะม่วง,286,50,336,"509,990.00"
มะละกอ,13,5,18,"51,150.00"
ลำไย,7,0,7,0
ส้มโอ,51,3,54,0
ไม้ยืนต้น,82,16,98,"23,380.00"
ตาลโตนด,21,0,21,0
มะพร้าว,61,16,77,"23,380.00"
สรรคบุรี,"1,431.00",146,"1,577.00","1,054,060.00"
ไม้ผล,"1,330.00",146,"1,476.00","844,360.00"
กระท้อน,8,0,8,"9,000.00"
กล้วยน้ำว้า,176,0,176,"285,520.00"
ฝรั่ง,12,0,12,"7,000.00"
มะนาว,63,0,63,"44,290.00"
มะม่วง,886,25,911,"385,050.00"
ส้มโอ,185,121,306,"113,500.00"
ไม้ยืนต้น,101,0,101,"209,700.00"
ปาล์มน้ำมัน,30,0,30,"178,000.00"
มะพร้าว,71,0,71,"31,700.00"
หันคา,"2,672.75","3,164.25","5,837.00","2,261,421.33"
ไม้ผล,"1,419.00","1,959.00","3,378.00","1,958,910.00"
มะนาว,20,25,45,0
มะม่วง,"1,270.00","1,807.00","3,077.00","1,413,510.00"
ส้มโอ,129,127,256,"545,400.00"
ไม้ยืนต้น,"1,253.75","1,205.25","2,459.00","302,511.33"
ปาล์มน้ำมัน,806.75,598.75,"1,405.50","242,025.00"
มะพร้าว,0,100.5,100.5,0
ยางพารา,447,506,953,"60,486.33"
หนองมะโมง,592,350,942,"1,595,200.00"
ไม้ผล,332,83,415,"292,631.00"
กล้วยน้ำว้า,9,1,10,"4,482.00"
มะนาว,4,4,8,"3,930.00"
มะม่วง,149,7,156,"65,050.00"
ส้มเขียวหวาน,120,0,120,"143,910.00"
ส้มโอ,30,58,88,"21,880.00"
แก้วมังกร,1,1,2,"3,680.00"
ไม้ผลอื่นๆ,19,12,31,"49,699.00"
ไม้ยืนต้น,260,267,527,"1,302,569.00"
ปาล์มน้ำมัน,250,249,499,"1,300,784.00"
มะพร้าว,6,13,19,"1,785.00"
ยางพารา,4,5,9,0
เนินขาม,"1,219.70",345.8,"1,565.50",900
ไม้ผล,223.7,114.8,338.5,0
กล้วยน้ำว้า,2,6,8,0
ขนุนหนัง,0,20,20,0
ฝรั่ง,0,3,3,0
พุทรา,67,40,107,0
มะนาว,40,9,49,0
มะม่วง,110,0,110,0
ส้มโอ,4.7,36.8,41.5,0
ไม้ยืนต้น,996,231,"1,227.00",900
ปาล์มน้ำมัน,96,21,117,0
ยางพารา,50,30,80,900
ยูคาลิปตัส,850,38,888,0
ไม้สัก,0,142,142,0
ชัยภูมิ,"113,057.33","85,306.10","198,363.43","34,295,422.16"
เมืองชัยภูมิ,"13,683.25","25,914.75","39,598.00",0
ไม้ผล,"2,102.00","2,339.00","4,441.00",0
กล้วยน้ำว้า,265,179,444,0
ขนุนหนัง,50,20,70,0
ทุเรียน,0,22,22,0
น้อยหน่า,40,30,70,0
ฝรั่ง,12,5,17,0
มะไฟ,42,681,723,0
มะม่วง,635,"1,393.00","2,028.00",0
มะยงชิด,0,1,1,0
มะละกอ,6,0,6,0
ละมุด,55,6,61,0
ลำไย,997,0,997,0
ลิ้นจี่,0,2,2,0
ไม้ยืนต้น,"11,581.25","23,575.75","35,157.00",0
ปาล์มน้ำมัน,0,360,360,0
มะพร้าว,44,174,218,0
ยางพารา,"11,032.25","22,231.75","33,264.00",0
ยูคาลิปตัส,315,465,780,0
ไผ่,40,55,95,0
หม่อน,150,140,290,0
ไม้ยืนต้นอื่นๆ,0,150,150,0
บ้านเขว้า,"2,062.00",680,"2,742.00",0
ไม้ผล,"1,696.00",182,"1,878.00",0
กล้วยน้ำว้า,310,0,310,0
ชมพู่,7,0,7,0
ฝรั่ง,1,0,1,0
มะม่วง,"1,345.00",182,"1,527.00",0
มะละกอ,32,0,32,0
ละมุด,1,0,1,0
ไม้ยืนต้น,366,498,864,0
มะพร้าว,59,3,62,0
ยางพารา,307,495,802,0
คอนสวรรค์,"1,935.00",599,"2,534.00","494,447.00"
ไม้ผล,909,277,"1,186.00","147,364.00"
กล้วยน้ำว้า,386,84,470,"98,254.00"
กล้วยหอม,175,180,355,"6,375.00"
