พื้นที่,เนื้อที่ยืนต้นทั้งหมด,,,ผลผลิตที่เก็บเกี่ยวได้
,(ไร่),,,(กิโลกรัม)
,ให้ผลผลิต,ยังไม่ให้ผล,รวม (ไร่),
,,,,
ทุเรียน,45,24,69,"109,438.00"
มะนาว,0,5,5,0
มังคุด,54,3,57,"41,835.00"
ลองกอง,39,1,40,"21,311.00"
สละ,1,5,6,"6,500.00"
ส้มเขียวหวาน,0,0,0,0
ไม้ยืนต้น,"114,674.00","42,745.00","157,419.00","1,230,516,309.00"
ปาล์มน้ำมัน,"61,832.00","36,793.00","98,625.00","1,102,084,978.00"
มะพร้าว,232,0,232,"3,143,847.00"
มะม่วงหิมพานต์,0,4,4,"7,214.00"
ยางพารา,"52,486.00","5,764.00","58,250.00","124,093,657.00"
สะตอ,7,2,9,"30,358.00"
หมาก,0,2,2,0
ผักเหลียง(ผักเหมียง),67,130,197,"633,562.00"
ผักหวานป่า,50,50,100,"522,693.00"
กรุงเทพมหานคร,"5,637.25","6,896.50","12,533.75","16,885,878.00"
เขตหนองจอก,878,"1,361.25","2,239.25","4,502,700.00"
ไม้ผล,498,834.25,"1,332.25","2,596,700.00"
กล้วยน้ำว้า,319,435,754,"2,508,300.00"
กล้วยหอม,15,40,55,"18,500.00"
มะม่วง,154,354,508,"29,900.00"
มะละกอ,10,0,10,"40,000.00"
มังคุด,0,0.25,0.25,0
มะกอกน้ำ,0,5,5,0
ไม้ยืนต้น,380,527,907,"1,906,000.00"
ปาล์มน้ำมัน,25,69,94,"55,000.00"
มะพร้าว,355,458,813,"1,851,000.00"
เขตบางเขน,4,1,5,"1,600.00"
ไม้ผล,4,1,5,"1,600.00"
กล้วยน้ำว้า,4,0.5,4.5,"1,600.00"
มะม่วง,0,0.5,0.5,0
เขตบางกะปิ,27,14,41,0
ไม้ผล,12,9,21,0
กล้วยน้ำว้า,6,7,13,0
มะม่วง,6,2,8,0
ไม้ยืนต้น,15,5,20,0
มะพร้าว,15,5,20,0
เขตมีนบุรี,109,120,229,"12,900.00"
ไม้ผล,19,28,47,"8,100.00"
กล้วยน้ำว้า,13,22,35,"5,100.00"
มะม่วง,6,6,12,"3,000.00"
ไม้ยืนต้น,90,92,182,"4,800.00"
มะพร้าว,90,92,182,"4,800.00"
เขตลาดกระบัง,131,271,402,0
ไม้ผล,126,245,371,0
กล้วยน้ำว้า,41,57,98,0
มะม่วง,85,188,273,0
ไม้ยืนต้น,5,26,31,0
มะพร้าว,5,26,31,0
เขตตลิ่งชัน,178,36.25,214.25,"1,176,938.00"
ไม้ผล,166,28,194,"1,099,988.00"
กล้วยน้ำว้า,82,11,93,"761,388.00"
กล้วยหอม,16,3,19,"100,000.00"
มะกรูด,61,7,68,"224,800.00"
มะม่วง,7,7,14,"13,800.00"
ไม้ยืนต้น,12,8.25,20.25,"76,950.00"
มะพร้าว,12,8.25,20.25,"76,950.00"
เขตบางขุนเทียน,488,31,519,"1,337,100.00"
ไม้ผล,124,23,147,"527,000.00"
กล้วยน้ำว้า,29,5,34,"275,300.00"
มะขามเทศ,2,0,2,0
มะนาว,16,1,17,"194,500.00"
มะม่วง,40,0,40,"48,400.00"
ส้มเขียวหวาน,23,17,40,"8,800.00"
ส้มโอ,14,0,14,0
ไม้ยืนต้น,364,8,372,"810,100.00"
มะพร้าว,364,8,372,"810,100.00"
เขตภาษีเจริญ,431,129,560,"3,809,000.00"
ไม้ผล,346,109,455,"3,019,000.00"
กล้วยน้ำว้า,211,75,286,"1,920,000.00"
กล้วยหอม,7,7,14,"39,000.00"
มะนาว,103,17,120,"850,000.00"
มะละกอ,25,10,35,"210,000.00"
ไม้ยืนต้น,85,20,105,"790,000.00"
มะพร้าว,85,20,105,"790,000.00"
เขตหนองแขม,428,202,630,"83,815.00"
ไม้ผล,369,163,532,"59,495.00"
กล้วยน้ำว้า,127,3,130,"40,100.00"
ฝรั่ง,73,65,138,"19,200.00"
มะม่วง,115,95,210,0
ลำไย,54,0,54,195
ไม้ยืนต้น,59,39,98,"24,320.00"
มะพร้าว,59,39,98,"24,320.00"
เขตราษฎร์บูรณะ,581,33,614,"742,480.00"
ไม้ผล,401,6,407,"512,780.00"
กล้วยน้ำว้า,305,0,305,"508,000.00"
กล้วยหอม,65,0,65,"1,280.00"
ชมพู่,0,6,6,0
มะม่วง,31,0,31,"3,500.00"
ไม้ยืนต้น,180,27,207,"229,700.00"
มะพร้าว,77,27,104,"116,700.00"
หมาก,103,0,103,"113,000.00"
เขตบึงกุ่ม,5,2,7,0
ไม้ผล,5,2,7,0
กล้วยน้ำว้า,5,2,7,0
เขตประเวศ,66,1,67,0
ไม้ผล,66,1,67,0
กล้วยน้ำว้า,1,1,2,0
มะม่วง,65,0,65,0
เขตสวนหลวง,0,3,3,0
ไม้ผล,0,3,3,0
กล้วยน้ำว้า,0,3,3,0
เขตจอมทอง,275,68,343,"2,990,450.00"
ไม้ผล,111,40,151,"1,226,650.00"
กล้วยน้ำว้า,24,5,29,"273,000.00"
กล้วยหอม,17,9,26,"431,400.00"
ชมพู่,8,0,8,"1,000.00"
ฝรั่ง,2,0,2,"2,900.00"
มะนาว,5,8,13,"412,000.00"
มะม่วง,18,0,18,"96,700.00"
ลิ้นจี่,24,0,24,0
ส้มเขียวหวาน,13,18,31,"9,650.00"
ไม้ยืนต้น,164,28,192,"1,763,800.00"
มะพร้าว,151,27,178,"1,729,900.00"
หมาก,13,1,14,"33,900.00"
เขตดอนเมือง,17,70,87,"52,700.00"
ไม้ผล,16,69,85,"52,700.00"
กล้วยไข่,1,9,10,0
กล้วยน้ำว้า,5,36,41,"38,000.00"
กล้วยหอม,4,15,19,0
ฝรั่ง,3,3,6,"8,700.00"
มะนาว,3,3,6,"6,000.00"
มะม่วง,0,2,2,0
มะยงชิด,0,1,1,0
ไม้ยืนต้น,1,1,2,0
ไผ่,1,1,2,0
เขตลาดพร้าว,3,5,8,0
ไม้ผล,3,5,8,0
กล้วยน้ำว้า,3,5,8,0
เขตบางแค,485,"1,871.00","2,356.00","32,840.00"
ไม้ผล,449,"1,732.57","2,181.57","30,365.00"
กล้วยน้ำว้า,287,"1,384.94","1,671.94","18,845.00"
กล้วยหอม,142,272,414,"10,480.00"
ฝรั่ง,20,75.63,95.63,"1,040.00"
ไม้ยืนต้น,36,138.43,174.43,"2,475.00"
มะพร้าว,36,138.43,174.43,"2,475.00"
เขตหลักสี่,0,1,1,0
ไม้ผล,0,1,1,0
กระท้อน,0,0.5,0.5,0
มะม่วง,0,0.5,0.5,0
เขตสายไหม,4,9,13,0
ไม้ผล,4,9,13,0
กล้วยน้ำว้า,0,1,1,0
มะม่วง,4,8,12,0
เขตคันนายาว,22,11,33,0
ไม้ผล,22,11,33,0
กล้วยน้ำว้า,15,5,20,0
มะนาว,1,0,1,0
มะละกอ,6,6,12,0
เขตสะพานสูง,45,90,135,0
ไม้ผล,45,90,135,0
กล้วยน้ำว้า,45,90,135,0
เขตวังทองหลาง,18,14,32,0
ไม้ผล,18,14,32,0
กล้วยน้ำว้า,6,8,14,0
มะม่วง,12,6,18,0
เขตคลองสามวา,146,234,380,"110,730.00"
ไม้ผล,112,189,301,"91,710.00"
กล้วยน้ำว้า,102,169,271,"81,710.00"
มะม่วง,10,20,30,"10,000.00"
ไม้ยืนต้น,34,45,79,"19,020.00"
มะพร้าว,34,45,79,"19,020.00"
เขตทวีวัฒนา,425,"2,089.00","2,514.00","406,375.00"
ไม้ผล,410,"2,074.00","2,484.00","405,350.00"
กล้วยน้ำว้า,198,"1,066.00","1,264.00","299,000.00"
กล้วยหอม,67,152,219,"61,800.00"
มะกรูด,40,129,169,"20,100.00"
มะนาว,75,409,484,"22,850.00"
มะม่วง,15,303,318,"1,100.00"
แก้วมังกร,15,15,30,500
ไม้ยืนต้น,15,15,30,"1,025.00"
มะพร้าว,15,15,30,"1,025.00"
เขตทุ่งครุ,406.25,160,566.25,"823,950.00"
ไม้ผล,181.25,41,222.25,"168,300.00"
กล้วยน้ำว้า,81,22,103,"89,200.00"
กล้วยหอม,48,0,48,"74,400.00"
มะม่วง,37,4,41,"1,500.00"
ส้มเขียวหวาน,11.25,11,22.25,"3,200.00"
ส้มตรา(ส้มเช้ง),4,4,8,0
ไม้ยืนต้น,225,119,344,"655,650.00"
มะพร้าว,179,119,298,"544,650.00"
หมาก,46,0,46,"111,000.00"
เขตบางบอน,465,70,535,"802,300.00"
ไม้ผล,209,70,279,"477,500.00"
กล้วยน้ำว้า,40,40,80,"372,000.00"
กล้วยหอม,30,30,60,"46,800.00"
มะม่วง,137,0,137,"55,700.00"
แก้วมังกร,2,0,2,"3,000.00"
ไม้ยืนต้น,256,0,256,"324,800.00"
มะพร้าว,256,0,256,"324,800.00"
กาญจนบุรี,"175,705.00","95,394.38","271,099.38","279,031,267.33"
เมืองกาญจนบุรี,"10,706.50","4,832.25","15,538.75","20,163,592.13"
ไม้ผล,"4,752.00","1,280.00","6,032.00","18,063,970.00"
กล้วยไข่,178,91,269,"3,222,200.00"
กล้วยน้ำว้า,484,419,903,"11,250,570.00"
ขนุนหนัง,35,30,65,"18,500.00"
ทุเรียน,30,84,114,0
ฝรั่ง,53,0,53,"44,600.00"
มะกรูด,336,452,788,"336,000.00"
มะขามเทศ,45,90,135,0
มะนาว,"1,418.00",68,"1,486.00","3,184,000.00"
มะม่วง,"2,160.00",0,"2,160.00","6,800.00"
มะละกอ,13,46,59,"1,300.00"
ไม้ยืนต้น,"5,219.50","3,262.25","8,481.75","1,886,311.13"
กาแฟ,15,0,15,"4,480.00"
ปาล์มน้ำมัน,607.5,493.25,"1,100.75","1,167,374.80"
มะพร้าว,0,25,25,0
ยางพารา,"2,556.00","2,212.00","4,768.00","702,456.33"
ยูคาลิปตัส,"1,991.00",532,"2,523.00",0
หม่อน,20,0,20,"12,000.00"
อินทผาลัม,30,0,30,0
สมุนไพรและเครื่องเทศ (รต.02),735,290,"1,025.00","213,311.00"
ดีปลี,735,290,"1,025.00","213,311.00"
ไทรโยค,"40,438.00","12,543.25","52,981.25","144,783,035.00"
ไม้ผล,"16,968.00","2,125.25","19,093.25","100,716,922.00"
กล้วยไข่,726,143,869,"2,774,500.00"
กล้วยน้ำว้า,"1,781.00",822,"2,603.00","19,984,000.00"
กล้วยหอม,140,140,280,"1,154,000.00"
ขนุนหนัง,356,90,446,"2,161,600.00"
เงาะ,153,68,221,"33,500.00"
ชมพู่,5,0,5,"10,100.00"
ทุเรียน,59,10,69,"64,500.00"
น้อยหน่า,"1,771.00",39,"1,810.00","4,400,200.00"
ฝรั่ง,81,0,81,"1,375,680.00"
พุทรา,"2,280.00",11,"2,291.00","6,965,500.00"
มะกรูด,159,52.25,211.25,"924,190.00"
มะขาม,"2,258.00",133,"2,391.00","5,047,900.00"
มะนาว,"1,498.00",121,"1,619.00","12,092,500.00"
มะม่วง,"2,371.00",93,"2,464.00","2,718,500.00"
มะละกอ,"1,135.00",80,"1,215.00","11,700,912.00"
มังคุด,63,0,63,"20,500.00"
ลองกอง,91,0,91,"87,500.00"
ลำไย,269,58,327,"126,600.00"
ลิ้นจี่,20,155,175,0
ส้มโอ,"1,737.00",105,"1,842.00","28,924,740.00"
แก้วมังกร,15,5,20,"150,000.00"
ไม้ยืนต้น,"23,470.00","10,418.00","33,888.00","44,066,113.00"
ปาล์มน้ำมัน,"3,495.00",438,"3,933.00","28,628,000.00"
มะพร้าว,240,36,276,"3,393,200.00"
มะม่วงหิมพานต์,63,0,63,"67,000.00"
ยางพารา,"17,057.00","8,211.00","25,268.00","10,037,213.00"
ยูคาลิปตัส,900,"1,731.00","2,631.00",0
สะตอ,39,2,41,0
ไผ่,"1,438.00",0,"1,438.00","1,940,700.00"
หม่อน,238,0,238,0
บ่อพลอย,"3,085.50","6,278.00","9,363.50","2,317,942.50"
ไม้ผล,649,780,"1,429.00","545,249.00"
กล้วยน้ำว้า,34,0,34,0
กล้วยหอม,45,22,67,"21,400.00"
ขนุนหนัง,46,51,97,0
ทุเรียน,10,192,202,"6,000.00"
ฝรั่ง,23,0,23,"8,450.00"
พุทรา,35,7,42,"71,812.00"
มะขาม,35,45,80,"16,000.00"
มะนาว,89.5,19,108.5,"100,546.00"
มะปรางหวาน,15,30,45,"4,500.00"
มะม่วง,196.5,237,433.5,"259,991.00"
มะยงชิด,10,0,10,0
มะละกอ,50,10,60,"56,550.00"
ลำไย,60,160,220,0
ส้มโอ,0,7,7,0
ไม้ยืนต้น,"2,436.50","5,498.00","7,934.50","1,772,693.50"
ปาล์มน้ำมัน,145,180,325,"82,500.00"
มะพร้าว,10,0,10,0
ยางพารา,"1,222.00","3,240.00","4,462.00","93,322.50"
ยูคาลิปตัส,862.5,"1,384.00","2,246.50","1,558,871.00"
ไม้สัก,0,380,380,0
สะเดา,0,60,60,0
ไผ่,60,10,70,0
อินทผาลัม,137,244,381,"38,000.00"
ศรีสวัสดิ์,"5,463.25","3,850.13","9,313.38","2,879,975.00"
ไม้ผล,"4,149.25","1,477.00","5,626.25","2,879,975.00"
กล้วยน้ำว้า,"1,153.00",0,"1,153.00","1,620,000.00"
กล้วยหอม,2.75,0,2.75,"1,375.00"
ขนุนหนัง,17,0,17,0
เงาะ,23,46,69,0
ทุเรียน,0,123,123,0
ฝรั่ง,13,0,13,0
พุทรา,10,0,10,0
มะขาม,"1,536.00","1,125.00","2,661.00","128,000.00"
มะนาว,50,30,80,"9,000.00"
มะม่วง,414.5,59,473.5,"113,000.00"
มะละกอ,860,0,860,"1,008,600.00"
ลำไย,38,80,118,0
ส้มโอ,17,14,31,0
องุ่น,15,0,15,0
ไม้ยืนต้น,"1,314.00","2,360.00","3,674.00",0
กาแฟ,7,0,7,0
นุ่น,0,8,8,0
ปาล์มน้ำมัน,9,99,108,0
มะพร้าว,167,0,167,0
มะม่วงหิมพานต์,0,2,2,0
ยางพารา,950,"1,766.00","2,716.00",0
ยูคาลิปตัส,0,96,96,0
ไม้สัก,0,332,332,0
สะเดา,0,11,11,0
สะตอ,5,0,5,0
หมาก,30,0,30,0
ไผ่,146,46,192,0
สมุนไพรและเครื่องเทศ (รต.02),0,13.13,13.13,0
กฤษณา,0,13.13,13.13,0
ท่ามะกา,946.5,197.25,"1,143.75","2,582,960.00"
ไม้ผล,708,22.25,730.25,"1,253,300.00"
กล้วยน้ำว้า,44,0,44,"93,000.00"
ชมพู่,562,0,562,"1,055,500.00"
ทุเรียน,4,8.25,12.25,"3,000.00"
มะนาว,23,0,23,"101,800.00"
มะม่วง,0,13,13,0
ลำไย,15,1,16,0
องุ่น,60,0,60,0
ไม้ยืนต้น,230.5,167,397.5,"1,297,660.00"
ปาล์มน้ำมัน,102,118,220,"649,100.00"
มะพร้าว,84.5,35,119.5,"644,600.00"
ยางพารา,44,14,58,"3,960.00"
สมุนไพรและเครื่องเทศ (รต.02),8,8,16,"32,000.00"
ดีปลี,8,8,16,"32,000.00"
ท่าม่วง,"3,726.00","3,599.50","7,325.50","12,557,745.08"
ไม้ผล,"2,377.00","1,616.00","3,993.00","10,952,050.00"
กล้วยไข่,32,25,57,"219,000.00"
กล้วยน้ำว้า,286,296,582,"1,216,850.00"
กล้วยหอม,190,235,425,"1,420,400.00"
ขนุนหนัง,154,54,208,"45,000.00"
ชมพู่,202,363,565,"1,497,500.00"
ฝรั่ง,51,19,70,"233,600.00"
พุทรา,183,10,193,"859,700.00"
มะนาว,198,53,251,"435,000.00"
มะม่วง,353,86,439,"214,250.00"
มะยงชิด,45,35,80,550
มะละกอ,10,0,10,"50,000.00"
ลำไย,353,130,483,"211,200.00"
ส้มโอ,10,0,10,"10,000.00"
มะขามป้อม,310,310,620,"4,539,000.00"
ไม้ยืนต้น,894,"1,577.50","2,471.50","1,123,195.08"
ปาล์มน้ำมัน,245,109,354,"680,896.00"
มะพร้าว,80,60,140,"320,000.00"
ยางพารา,260,393.5,653.5,"87,799.13"
ยูคาลิปตัส,260,920,"1,180.00","4,999.95"
ไผ่,28,28,56,"13,500.00"
อินทผาลัม,21,67,88,"16,000.00"
สมุนไพรและเครื่องเทศ (รต.02),455,406,861,"482,500.00"
ดีปลี,455,406,861,"482,500.00"
ทองผาภูมิ,"63,996.75","26,235.50","90,232.25","60,278,790.47"
ไม้ผล,"7,583.25","4,320.50","11,903.75","12,481,535.00"
กระท้อน,12,0,12,"2,000.00"
กล้วยไข่,464,517,981,"782,500.00"
กล้วยน้ำว้า,"2,297.25",479,"2,776.25","4,892,445.00"
กล้วยหอม,6,10,16,"14,200.00"
ขนุนหนัง,112,22,134,"44,800.00"
เงาะ,867.5,407,"1,274.50","728,000.00"
ทุเรียน,983,"1,302.00","2,285.00","879,500.00"
มะขาม,116,15,131,"12,540.00"
มะนาว,641,363.5,"1,004.50","204,640.00"
มะม่วง,101,21,122,"12,600.00"
มะยงชิด,30,18,48,"11,280.00"
มะละกอ,207,251,458,"55,000.00"
มังคุด,201,269,470,"174,940.00"
ลองกอง,212.5,28,240.5,"112,150.00"
ลำไย,34,21,55,900
ลิ้นจี่,4,8,12,0
สตรอเบอรี่,0,12,12,240
ส้มโอ,"1,295.00",577,"1,872.00","4,553,800.00"
ไม้ยืนต้น,"56,413.50","21,915.00","78,328.50","47,797,255.47"
กาแฟ,202,913,"1,115.00",0
ปาล์มน้ำมัน,"3,976.25",279.5,"4,255.75","40,870,970.00"
มะพร้าว,105.5,72,177.5,"62,550.00"
มะม่วงหิมพานต์,"1,073.00",473,"1,546.00","621,951.00"
ยางพารา,"50,274.50","19,642.75","69,917.25","5,274,969.47"
ลูกเนียง,10,29,39,"9,000.00"
ไม้สัก,0,187,187,0
สะตอ,143,23,166,"92,615.00"
ไผ่,598.25,154.75,753,"864,900.00"
หม่อน,31,0,31,300
อินทผาลัม,0,141,141,0
สังขละบุรี,"32,741.00","5,973.00","38,714.00","12,154,362.67"
ไม้ผล,"1,171.00",537,"1,708.00","1,126,177.00"
กล้วยน้ำว้า,48,137,185,"343,027.00"
ขนุนหนัง,100,0,100,"82,600.00"
เงาะ,468,50,518,"338,360.00"
ทุเรียน,185,195,380,"140,700.00"
มะนาว,64,10,74,"37,640.00"
มังคุด,100,145,245,"31,300.00"
ลองกอง,36,0,36,"13,550.00"
ส้มโอ,170,0,170,"139,000.00"
ไม้ยืนต้น,"31,570.00","5,436.00","37,006.00","11,028,185.67"
กาแฟ,66,0,66,"19,608.00"
ปาล์มน้ำมัน,"2,768.00",646,"3,414.00","4,805,762.00"
มะม่วงหิมพานต์,"1,722.00",90,"1,812.00","344,400.00"
ยางพารา,"26,278.00","4,200.00","30,478.00","5,641,641.67"
สะตอ,673,500,"1,173.00","130,650.00"
หมาก,63,0,63,"86,124.00"
พนมทวน,"1,064.25",170,"1,234.25","1,321,237.50"
ไม้ผล,79,56,135,"738,000.00"
กล้วยน้ำว้า,62,8,70,"708,000.00"
กล้วยหอม,0,7,7,0
มะขาม,0,16,16,0
มะม่วง,17,25,42,"30,000.00"
ไม้ยืนต้น,985.25,114,"1,099.25","583,237.50"
ปาล์มน้ำมัน,158.25,0,158.25,"335,237.50"
มะพร้าว,17,2,19,"248,000.00"
ยางพารา,0,108,108,0
ยูคาลิปตัส,810,0,810,0
ไผ่,0,4,4,0
เลาขวัญ,"3,918.00","7,110.00","11,028.00","7,440,885.64"
ไม้ผล,332,162,494,"117,219.00"
กล้วยน้ำว้า,6,0,6,"10,860.00"
ฝรั่ง,4,0,4,0
พุทรา,100,0,100,"42,000.00"
มะขามเทศ,30,0,30,"9,000.00"
มะนาว,48,19,67,"2,359.00"
มะม่วง,124,113,237,"53,000.00"
ลำไย,0,3,3,0
ส้มโอ,0,7,7,0
ไม้ผลอื่นๆ,20,20,40,0
ไม้ยืนต้น,"3,586.00","6,948.00","10,534.00","7,323,666.64"
ปาล์มน้ำมัน,85,91,176,"20,000.00"
มะพร้าว,5,5,10,0
ยางพารา,114,944,"1,058.00","1,666.64"
ยูคาลิปตัส,"3,197.00","5,862.00","9,059.00","6,992,000.00"
ไม้สัก,0,41,41,0
หม่อน,160,0,160,"294,000.00"
อินทผาลัม,20,0,20,"16,000.00"
ไม้ยืนต้นอื่นๆ,5,5,10,0
ด่านมะขามเตี้ย,"5,821.00","3,684.00","9,505.00","7,715,507.84"
ไม้ผล,712,316,"1,028.00","2,430,720.00"
กล้วยไข่,10,10,20,"7,670.00"
กล้วยน้ำว้า,50,45,95,"47,000.00"
พุทรา,300,17,317,"692,000.00"
มะนาว,150,50,200,"1,255,000.00"
มะม่วง,87,162,249,"297,000.00"
มะละกอ,20,32,52,"48,750.00"
ส้มโอ,5,0,5,"24,700.00"
ไม้ผลอื่นๆ,90,0,90,"58,600.00"
ไม้ยืนต้น,"5,109.00","3,368.00","8,477.00","5,284,787.84"
ปาล์มน้ำมัน,"1,646.00",833,"2,479.00","4,602,000.00"
มะพร้าว,34,12,46,"293,950.00"
ยางพารา,"2,030.00","2,476.00","4,506.00","222,637.84"
ยูคาลิปตัส,"1,399.00",47,"1,446.00","166,200.00"
หนองปรือ,"3,330.25","7,227.00","10,557.25","4,760,357.00"
ไม้ผล,867.25,926,"1,793.25","2,981,649.00"
กล้วยน้ำว้า,265,385,650,"379,677.00"
ขนุนหนัง,165,164,329,"2,013,605.00"
ทุเรียน,0,64,64,0
ฝรั่ง,42,40,82,"79,136.00"
มะขาม,31,12,43,0
มะนาว,25,44,69,"10,782.00"
มะม่วง,208,121,329,"134,501.00"
