พื้นที่,เนื้อที่ปลูก,ผลผลิต
ชัยบาดาล,"283,401.00","1,435,605,631.00"
ท่าวุ้ง,"127,690.25","99,940,712.50"
บ้านหมี่,"257,792.00","254,838,294.00"
ท่าหลวง,"172,839.70","631,849,564.00"
สระโบสถ์,"85,461.75","271,663,105.00"
โคกเจริญ,"206,888.00","800,995,730.00"
ลำสนธิ,"77,459.00","283,574,058.00"
หนองม่วง,"149,376.25","511,272,880.00"
เมืองลำปาง,"139,297.75","127,858,599.00"
แม่เมาะ,"41,608.69","35,874,786.00"
เกาะคา,"48,458.25","23,963,065.00"
เสริมงาม,"44,288.75","22,372,377.60"
งาว,"110,339.00","90,755,995.00"
แจ้ห่ม,"33,794.00","20,872,200.00"
วังเหนือ,"96,152.00","77,193,800.00"
เถิน,"36,901.00","18,218,500.00"
แม่พริก,"14,461.50","717,450.00"
แม่ทะ,"76,715.18","53,937,956.00"
สบปราบ,"38,417.00","26,649,334.00"
ห้างฉัตร,"40,113.18","22,706,705.00"
เมืองปาน,"40,060.00","29,947,740.00"
เมืองลำพูน,"36,215.00","18,980,226.00"
แม่ทา,"18,338.00","10,770,700.00"
บ้านโฮ่ง,"4,244.00","3,525,099.00"
ลี้,"62,709.00","40,376,800.00"
ทุ่งหัวช้าง,"18,271.25","14,896,403.00"
ป่าซาง,"12,705.00","6,861,005.00"
บ้านธิ,"16,999.00","11,633,000.00"
เวียงหนองล่อง,"2,128.45","1,546,430.00"
เมืองเลย,"131,444.50","307,313,850.00"
นาด้วง,"75,904.70","67,701,694.50"
เชียงคาน,"106,829.00","78,355,850.00"
ปากชม,"148,814.75","133,284,475.00"
ด่านซ้าย,"285,797.50","260,645,750.00"
นาแห้ว,"70,901.72","74,847,755.00"
ภูเรือ,"90,583.25","118,102,620.00"
ท่าลี่,"89,657.75","90,284,610.00"
วังสะพุง,"215,374.75","819,533,605.00"
ภูกระดึง,"55,153.00","3,000.00"
ภูหลวง,"65,913.00","281,284,706.00"
ผาขาว,"93,253.00","16,644,260.00"
เอราวัณ,"51,446.01","680,343,511.18"
หนองหิน,"45,266.74","345,325,410.00"
เมืองศรีสะเกษ,"209,085.09","62,791,408.90"
ยางชุมน้อย,"119,717.00","66,246,341.50"
กันทรารมย์,"276,454.25","122,273,064.00"
กันทรลักษ์,"290,598.14","135,771,900.00"
ขุขันธ์,"369,291.50","141,899,530.00"
ไพรบึง,"133,838.50","35,044,680.00"
ปรางค์กู่,"172,739.50","53,256,336.30"
ขุนหาญ,"167,795.07","57,862,950.00"
ราษีไศล,"242,311.00","117,420,185.00"
อุทุมพรพิสัย,"230,226.75","102,501,942.00"
บึงบูรพ์,"31,020.00","23,340,393.00"
ห้วยทับทัน,"73,163.86","58,563,284.08"
โนนคูณ,"89,505.17","38,360,010.00"
ศรีรัตนะ,"101,704.83","29,588,816.00"
น้ำเกลี้ยง,"105,332.58","41,848,284.00"
วังหิน,"155,867.75","60,919,000.08"
ภูสิงห์,"120,398.00","74,565,650.00"
เมืองจันทร์,"48,970.75","17,198,925.00"
เบญจลักษ์,"100,054.00","52,638,000.00"
พยุห์,"179,977.77","30,781,320.00"
โพธิ์ศรีสุวรรณ,"50,099.80","21,187,240.00"
ศิลาลาด,"64,267.51","28,352,150.00"
เมืองสกลนคร,"220,341.00","96,969,080.00"
กุสุมาลย์,"151,847.00","56,511,866.00"
กุดบาก,"55,822.00","21,763,902.00"
พรรณานิคม,"200,626.00","103,513,151.00"
พังโคน,"88,506.00","35,907,180.00"
วาริชภูมิ,"80,529.00","39,451,350.00"
นิคมน้ำอูน,"19,432.98","7,378,800.00"
วานรนิวาส,"442,187.32","203,323,733.80"
คำตากล้า,"95,834.00","34,363,680.00"
บ้านม่วง,"168,897.25","105,091,123.00"
อากาศอำนวย,"187,107.75","63,665,800.00"
สว่างแดนดิน,"313,573.00","211,900,350.00"
ส่องดาว,"62,088.33","54,766,415.00"
เต่างอย,"29,322.00","13,046,000.00"
โคกศรีสุพรรณ,"60,343.45","28,312,477.00"
เจริญศิลป์,"113,427.00","73,996,958.00"
โพนนาแก้ว,"141,048.25","86,477,562.25"
ภูพาน,"38,729.00","20,540,277.00"
เมืองสงขลา,823.5,"175,300.00"
สทิงพระ,"28,055.25","12,536,341.20"
จะนะ,"4,743.00","2,000.00"
นาทวี,63,0
เทพา,"23,147.00","14,087,005.00"
สะบ้าย้อย,725,"633,282.00"
ระโนด,"91,127.38","24,871,114.00"
กระแสสินธุ์,193,"1,000.00"
สะเดา,"1,048.00","743,990.00"
หาดใหญ่,"4,435.01","6,721,260.00"
นาหม่อม,240,"67,900.00"
ควนเนียง,"9,929.00","5,178,500.00"
บางกล่ำ,"1,226.50","285,913.17"
สิงหนคร,"17,862.25","9,255,717.00"
คลองหอยโข่ง,"1,055.00","737,550.00"
เมืองสตูล,314.5,"231,568.00"
ควนโดน,"2,831.64","1,267,827.17"
ควนกาหลง,"1,234.25","291,968.00"
ท่าแพ,"2,884.70","117,229.00"
ละงู,"9,186.50","6,680,427.00"
ทุ่งหว้า,"1,728.00","1,034,034.00"
มะนัง,"2,233.50",0
เมืองสมุทรปราการ,0.5,0
บางบ่อ,"33,911.00","16,492,330.00"
บางพลี,"2,820.00","1,064,350.00"
พระประแดง,219.4,150
บางเสาธง,"11,022.00","7,879,050.00"
เมืองสมุทรสงคราม,88.75,"35,450.00"
บางคนที,60,"58,665.00"
อัมพวา,"2,175.25","1,400,887.00"
เมืองสมุทรสาคร,"1,065.00","2,044,300.00"
กระทุ่มแบน,"13,419.50","10,318,115.00"
บ้านแพ้ว,"3,664.50","7,522,475.00"
เมืองสระแก้ว,"151,412.50","235,990,000.00"
คลองหาด,"90,067.00","2,042,124.00"
ตาพระยา,"402,135.01","139,752,640.00"
วังน้ำเย็น,"32,228.00","164,079,051.00"
วัฒนานคร,"209,926.53","9,883,250.00"
อรัญประเทศ,"241,919.00","5,266,704.00"
เขาฉกรรจ์,"126,530.75","27,997,450.00"
โคกสูง,"116,656.00","42,652,404.00"
วังสมบูรณ์,"170,888.00","325,582,390.21"
เมืองสระบุรี,"22,787.30","14,155,704.00"
แก่งคอย,"90,889.25","75,739,150.00"
หนองแค,"79,655.50","54,215,109.08"
วิหารแดง,"25,839.00","17,362,950.00"
หนองแซง,"33,281.00","10,364,665.00"
บ้านหมอ,"48,728.00","39,778,800.00"
ดอนพุด,"43,969.00","25,550,350.00"
หนองโดน,"42,907.50","26,878,880.00"
พระพุทธบาท,"69,478.25","85,812,290.00"
เสาไห้,"43,397.95","36,511,960.00"
มวกเหล็ก,"159,014.00","2,119,707,945.00"
วังม่วง,"86,663.00","351,910,600.00"
เฉลิมพระเกียรติ,"23,275.00","22,480,040.00"
เมืองสิงห์บุรี,"51,303.23","53,763,571.50"
บางระจัน,"97,131.75","298,454,929.00"
ค่ายบางระจัน,"53,609.50","114,717,393.15"
พรหมบุรี,"37,959.07","34,184,945.77"
ท่าช้าง,"22,392.80","19,342,247.28"
อินทร์บุรี,"113,550.00","97,850,773.00"
เมืองสุโขทัย,"302,543.00","183,972,449.30"
บ้านด่านลานหอย,"186,036.00","221,043,690.00"
คีรีมาศ,"242,505.00","496,972,498.51"
กงไกรลาศ,"292,397.00","209,555,570.22"
ศรีสัชนาลัย,"239,487.00","913,414,077.64"
ศรีสำโรง,"256,031.00","322,619,998.00"
สวรรคโลก,"291,520.00","928,277,225.23"
ศรีนคร,"81,287.00","317,814,746.00"
ทุ่งเสลี่ยม,"102,852.00","159,944,761.03"
เมืองสุพรรณบุรี,"330,464.25","290,460,037.50"
เดิมบางนางบวช,"302,641.50","585,566,650.00"
ด่านช้าง,"295,714.50","1,196,350,857.00"
บางปลาม้า,"394,176.00","324,849,930.00"
ศรีประจันต์,"124,107.00","165,592,475.00"
ดอนเจดีย์,"105,383.00","90,589,262.25"
สองพี่น้อง,"413,630.00","1,807,033,565.30"
สามชุก,"173,842.25","303,244,730.00"
อู่ทอง,"331,892.00","1,161,726,932.65"
หนองหญ้าไซ,"193,327.00","1,111,674,725.00"
เมืองสุราษฎร์ธานี,"1,298.00","47,000.00"
กาญจนดิษฐ์,"16,305.11","47,182,840.00"
ดอนสัก,937.5,"246,480.00"
เกาะสมุย,121.75,"87,611.00"
เกาะพะงัน,294.25,"228,580.00"
ไชยา,"5,586.20","3,500,370.05"
ท่าชนะ,"1,575.00","1,264,500.00"
คีรีรัฐนิคม,"1,077.00","768,304.00"
บ้านตาขุน,602.5,"793,330.00"
พนม,"3,291.00","134,369.04"
ท่าฉาง,"5,725.00","4,146,835.00"
บ้านนาสาร,"4,521.00","1,590,250.00"
บ้านนาเดิม,"1,268.00","814,800.00"
เคียนซา,63.5,"2,000.00"
เวียงสระ,468,"187,500.00"
พระแสง,626,"655,060.00"
พุนพิน,"1,617.50","21,500.00"
ชัยบุรี,479,"50,054.00"
วิภาวดี,"1,513.75","3,378,805.00"
เมืองสุรินทร์,"385,496.00","149,523,450.00"
ชุมพลบุรี,"316,289.10","120,792,660.00"
ท่าตูม,"268,839.70","94,148,345.00"
จอมพระ,"141,735.40","54,324,593.00"
ปราสาท,"386,954.00","288,196,000.00"
กาบเชิง,"142,674.00","143,076,900.00"
รัตนบุรี,"203,105.88","78,338,320.00"
สนม,"110,101.00","42,227,910.00"
ศีขรภูมิ,"329,572.00","148,316,052.00"
สังขะ,"317,888.00","194,775,430.02"
ลำดวน,"95,681.00","29,560,460.00"
สำโรงทาบ,"131,593.00","40,120,500.00"
บัวเชด,"83,455.50","97,612,280.00"
พนมดงรัก,"94,224.00","162,584,700.00"
ศรีณรงค์,"103,116.79","35,220,636.88"
เขวาสินรินทร์,"88,524.25","38,758,180.00"
โนนนารายณ์,"72,510.00","24,654,800.00"
เมืองหนองคาย,"134,125.50","43,505,966.50"
ท่าบ่อ,"124,585.88","133,970,489.00"
โพนพิสัย,"240,315.25","161,834,990.00"
ศรีเชียงใหม่,"37,817.63","15,236,200.00"
สังคม,"19,653.12","11,441,715.00"
สระใคร,"55,376.02","79,172,102.00"
เฝ้าไร่,"61,034.00","22,543,000.00"
รัตนวาปี,"55,447.50","17,723,745.00"
โพธิ์ตาก,"21,809.25","14,592,884.00"
เมืองหนองบัวลำภู,"356,768.00","581,031,373.01"
นากลาง,"316,342.00","1,883,736,647.00"
โนนสัง,"165,756.25","136,369,369.92"
ศรีบุญเรือง,"318,387.83","1,113,986,889.00"
สุวรรณคูหา,"183,246.31","559,106,181.50"
นาวัง,"80,623.50","635,990,225.00"
เมืองอ่างทอง,"33,568.00","22,424,522.00"
ไชโย,"22,607.75","19,745,050.00"
ป่าโมก,"11,755.00","9,958,350.00"
โพธิ์ทอง,"128,478.50","110,638,275.00"
แสวงหา,"120,938.00","215,148,025.00"
วิเศษชัยชาญ,"124,940.00","90,715,072.92"
สามโก้,"57,747.00","42,359,857.50"
เมืองอำนาจเจริญ,"324,184.25","113,349,355.00"
ชานุมาน,"161,102.00","205,000.00"
ปทุมราชวงศา,"154,963.93","95,944,326.25"
พนา,"100,452.00","37,322,420.00"
เสนางคนิคม,"126,522.50","45,233,550.00"
หัวตะพาน,"152,350.50","52,969,900.00"
ลืออำนาจ,"111,922.00","40,392,360.00"
เมืองอุดรธานี,"262,485.00","142,016,370.00"
กุดจับ,"142,625.00","482,283,088.00"
หนองวัวซอ,"64,879.80","81,208,565.00"
กุมภวาปี,"262,295.20","109,503,122.50"
โนนสะอาด,"172,520.00","413,988,185.00"
หนองหาน,"221,475.00","106,442,668.00"
ทุ่งฝน,"103,518.00","197,355,205.00"
ไชยวาน,"101,830.00","50,531,531.00"
ศรีธาตุ,"256,291.00","746,421,050.00"
วังสามหมอ,"151,282.00","300,681,140.00"
บ้านดุง,"304,608.72","241,648,330.00"
บ้านผือ,"236,492.00","1,036,173,382.00"
น้ำโสม,"124,121.05","639,619,850.00"
เพ็ญ,"307,945.00","291,719,440.00"
สร้างคอม,"79,058.00","47,447,700.00"
หนองแสง,"77,156.00","340,694,650.00"
นายูง,"32,606.00","80,017,750.00"
พิบูลย์รักษ์,"58,748.50","66,280,070.00"
กู่แก้ว,"70,523.50","193,301,690.00"
ประจักษ์ศิลปาคม,"50,046.75","31,164,660.00"
เมืองอุตรดิตถ์,"168,693.09","61,628,600.00"
ตรอน,"139,835.05","67,861,076.00"
ท่าปลา,"31,107.87","15,795,000.00"
น้ำปาด,"81,606.75","56,691,494.00"
ฟากท่า,"22,805.53","11,551,000.00"
บ้านโคก,"54,244.12","26,424,330.00"
พิชัย,"296,501.30","138,655,472.00"
ลับแล,"79,459.25","56,855,087.50"
ทองแสนขัน,"122,872.78","138,838,400.00"
เมืองอุทัยธานี,"86,078.75","62,171,600.00"
ทัพทัน,"171,547.50","115,285,215.50"
สว่างอารมณ์,"188,213.00","252,484,888.00"
หนองฉาง,"170,920.25","301,933,705.75"
หนองขาหย่าง,"45,079.55","23,281,500.00"
บ้านไร่,"406,290.75","1,857,521,576.00"
ลานสัก,"223,519.95","438,871,306.00"
ห้วยคต,"67,249.75","120,518,945.00"
เมืองอุบลราชธานี,"129,301.75","40,715,893.00"
ศรีเมืองใหม่,"238,531.50","183,124,290.00"
โขงเจียม,"128,832.00","34,355,824.00"
เขื่องใน,"302,064.00","86,783,625.00"
เขมราฐ,"235,383.00","133,895,306.00"
เดชอุดม,"350,936.00","185,479,850.00"
นาจะหลวย,"216,418.00","211,748,610.00"
น้ำยืน,"192,762.00","96,121,478.00"
บุณฑริก,"266,298.75","99,844,400.00"
ตระการพืชผล,"360,367.00","171,756,796.00"
กุดข้าวปุ้น,"158,463.00","95,923,900.00"
ม่วงสามสิบ,"301,564.00","145,417,400.00"
วารินชำราบ,"228,330.49","100,967,288.00"
พิบูลมังสาหาร,"357,559.00","136,910,000.00"
ตาลสุม,"119,994.00","44,377,700.00"
โพธิ์ไทร,"160,325.00","232,221,503.00"
สำโรง,"211,005.00","84,491,400.00"
ดอนมดแดง,"88,694.75","20,271,662.50"
สิรินธร,"71,564.00","20,277,600.00"
ทุ่งศรีอุดม,"112,228.65","34,803,550.00"
นาเยีย,"112,336.00","51,510,080.00"
นาตาล,"67,800.00","31,683,400.00"
เหล่าเสือโก้ก,"93,627.50","37,649,198.50"
สว่างวีระวงศ์,"55,847.50","30,651,350.00"
น้ำขุ่น,"85,017.00","77,274,748.00"
