AD_LEVEL,TA_ID,TAMBON_T,TAMBON_E,AM_ID,AMPHOE_T,AMPHOE_E,CH_ID,CHANGWAT_T,CHANGWAT_E,LAT,LONG,province,district
4,160307,ต. สะแกราบ,Sakae Rap,1603,อ. โคกสำโรง,Khok Samrong,16,จ. ลพบุรี,Lop Buri,15.12,100.79700000000001,ลพบุรี,โคกสำโรง
4,410301,ต. หมากหญ้า,Mak Ya,4103,อ. หนองวัวซอ,Nong Wua So,41,จ. อุดรธานี,Udon Thani,17.238,102.62799999999999,อุดรธานี,หนองวัวซอ
4,600702,ต. ช่องแค,Chong Khae,6007,อ. ตาคลี,Takhli,60,จ. นครสวรรค์,Nakhon Sawan,15.197000000000001,100.42200000000001,นครสวรรค์,ตาคลี
4,341114,ต. เป้า,Pao,3411,อ. ตระการพืชผล,Trakan Phuet Phon,34,จ. อุบลราชธานี,Ubon Ratchathani,15.69,104.978,อุบลราชธานี,ตระการพืชผล
4,380701,ต. ศรีวิไล,,3807,อ. ศรีวิไล,Si Wilai,38,จ. บึงกาฬ,Bueng Kan,18.225,103.73200000000001,บึงกาฬ,ศรีวิไล
4,802103,ต. กะหรอ,Karo,8021,อ. นบพิตำ,Nopphitam,80,จ. นครศรีธรรมราช,Nakhon Si Thammarat,8.666,99.82700000000001,นครศรีธรรมราช,นบพิตำ
4,340510,ต. แก้งเหนือ,Kaeng Nuea,3405,อ. เขมราฐ,Khemarat,34,จ. อุบลราชธานี,Ubon Ratchathani,15.932,105.12799999999999,อุบลราชธานี,เขมราฐ
4,310308,ต. บ้านปรือ,Ban Prue,3103,อ. กระสัง,Krasang,31,จ. บุรีรัมย์,Buri Ram,14.847999999999999,103.29899999999999,บุรีรัมย์,กระสัง
4,400905,ต. ห้วยโจด,Huai Chot,4009,อ. กระนวน,Kranuan,40,จ. ขอนแก่น,Khon Kaen,16.667,103.022,ขอนแก่น,กระนวน
4,571605,ต. โป่งแพร่,Pong Phrae,5716,อ. แม่ลาว,Mae Lao,57,จ. เชียงราย,Chiang Rai,19.812,99.65299999999999,เชียงราย,แม่ลาว
4,801405,ต. เปลี่ยน,Plian,8014,อ. สิชล,Sichon,80,จ. นครศรีธรรมราช,Nakhon Si Thammarat,8.833,99.87,นครศรีธรรมราช,สิชล
