พื้นที่,เนื้อที่ยืนต้น ให้ผลผลิต (ไร่),เนื้อที่ยืนต้น ยังไม่ให้ผลผลิต (ไร่),รวม (ไร่),ผลผลิตที่เก็บเกี่ยวได้ (กิโลกรัม)
โนนสุวรรณ,"18,529.00","15,862.00","34,391.00","2,388,745.50"
ชำนิ,"1,602.00","1,513.00","3,115.00","510,000.00"
บ้านใหม่ไชยพจน์,782,856,"1,638.00","1,255,582.27"
โนนดินแดง,"13,824.00","2,164.00","15,988.00","6,055,846.00"
บ้านด่าน,"5,154.00","5,738.00","10,892.00","49,168,755.00"
แคนดง,"16,522.50","8,199.00","24,721.50","30,953,268.00"
เฉลิมพระเกียรติ,386,230,616,"51,670.00"
เมืองปทุมธานี,"1,195.00",66.5,"1,261.50","8,760,300.00"
คลองหลวง,"2,520.75",377,"2,897.75","7,762,968.75"
มะขาม,0.5,45,45.5,0
สะเดา,5.5,0,5.5,0
ธัญบุรี,"6,094.57","4,761.07","10,855.64","21,638,742.21"
สะเดา,2,1,3,240
หนองเสือ,"18,966.25","16,595.50","35,561.75","87,763,464.02"
ลาดหลุมแก้ว,"1,910.00",651,"2,561.00","6,383,560.00"
สะเดา,3,0,3,"2,400.00"
ลำลูกกา,"1,281.25",655.75,"1,937.00","3,614,462.00"
สามโคก,"3,611.75","1,247.00","4,858.75","5,744,244.18"
เมืองประจวบคีรีขันธ์,"79,157.00","24,626.00","103,783.00","77,116,673.00"
กุยบุรี,"35,087.50","20,635.00","55,722.50","34,529,420.00"
ทับสะแก,"141,879.00","16,456.00","158,335.00","128,920,267.19"
บางสะพาน,"187,569.98","25,378.03","212,948.01","192,691,211.20"
บางสะพานน้อย,"509,593.00","43,146.00","552,739.00","365,376,051.26"
ปราณบุรี,"34,050.00","17,798.75","51,848.75","59,868,514.67"
มะขาม,28,10,38,"30,800.00"
สะเดา,0,12,12,0
หัวหิน,"35,646.00","22,044.00","57,690.00","35,494,609.66"
มะขาม,0,16,16,0
สามร้อยยอด,"60,534.00","15,664.00","76,198.00","88,271,035.41"
เมืองปราจีนบุรี,"28,998.00","6,158.00","35,156.00","1,591,400.00"
สะเดา,35,0,35,0
กบินทร์บุรี,"8,109.00","30,540.00","38,649.00","21,545,100.00"
นาดี,"13,459.00","15,493.00","28,952.00","15,742,614.85"
มะขาม,27,0,27,"5,400.00"
บ้านสร้าง,"1,313.00",830,"2,143.00","2,967,318.00"
ประจันตคาม,"12,464.88","7,253.00","19,717.88","476,075.00"
ศรีมหาโพธิ,"3,860.00","1,466.00","5,326.00","5,928,480.00"
ศรีมโหสถ,784,632,"1,416.00","1,127,962.00"
เมืองปัตตานี,"1,950.39",17,"1,967.39",0
ทุ่งยางแดง,441.5,123,564.5,"161,600.00"
กะพ้อ,"20,823.44","1,465.75","22,289.19","352,452.00"
พระนครศรีอยุธยา,"4,319.50","10,883.50","15,203.00","4,551,099.75"
พระนครศรีอยุธยา,2,223.5,225.5,0
ท่าเรือ,399.5,316,715.5,"2,902,727.00"
นครหลวง,166.75,57.75,224.5,"47,914.50"
บางไทร,549.25,"3,162.00","3,711.25",120
บางบาล,0,"1,961.50","1,961.50",0
บางปะอิน,170,853,"1,023.00",0
บางปะหัน,284.5,156.25,440.75,"132,482.75"
ผักไห่,795,457,"1,252.00","160,301.00"
ภาชี,0,185,185,0
ลาดบัวหลวง,620,"1,199.50","1,819.50","673,700.00"
วังน้อย,324.25,335,659.25,"383,612.50"
เสนา,125,341,466,0
บางซ้าย,527.25,686.5,"1,213.75","205,372.00"
อุทัย,185.5,113.5,299,"39,850.00"
มหาราช,110.5,375,485.5,"5,020.00"
บ้านแพรก,60,461,521,0
เมืองพะเยา,"22,831.25","9,081.25","31,912.50","2,139,897.00"
มะขาม,189,0,189,0
จุน,"14,046.00","12,817.00","26,863.00","3,537,720.00"
เชียงคำ,"47,282.50","36,781.75","84,064.25","27,593,800.00"
มะขาม,79,0,79,0
เชียงม่วน,"13,818.50","3,226.00","17,044.50",0
มะขาม,"1,732.00",920,"2,652.00",0
ดอกคำใต้,"14,711.00","2,274.50","16,985.50","3,888,899.00"
มะขาม,800,0,800,"261,193.00"
ปง,"25,524.00","15,257.00","40,781.00","18,965,749.00"
มะขาม,264,94,358,"54,900.00"
แม่ใจ,"13,897.00","4,746.75","18,643.75","4,009,000.00"
ภูซาง,"57,612.00","8,829.00","66,441.00","104,033,500.00"
ภูกามยาว,"3,147.00","5,202.00","8,349.00","483,950.00"
มะขาม,185,0,185,0
เมืองพังงา,"78,312.00","15,325.50","93,637.50","85,322,174.13"
เกาะยาว,"13,849.00","4,614.00","18,463.00","575,878.50"
กะปง,"129,433.00","53,574.00","183,007.00","429,053,002.00"
ตะกั่วทุ่ง,"181,205.00","21,837.00","203,042.00","36,823,002.31"
ตะกั่วป่า,"80,182.50","34,844.50","115,027.00","386,064,387.46"
คุระบุรี,"147,056.50","48,532.25","195,588.75","600,429,352.50"
ทับปุด,"77,810.59","16,341.39","94,151.98","131,010,662.84"
ท้ายเหมือง,"132,538.00","28,894.00","161,432.00","70,607,488.20"
เมืองพัทลุง,"61,534.75","16,338.25","77,873.00","27,614,926.90"
กงหรา,"81,133.00","34,486.00","115,619.00","4,937,443.25"
เขาชัยสน,"105,079.05","24,498.18","129,577.23","25,124,910.85"
ตะโหมด,"65,244.00","15,569.00","80,813.00","11,866,287.86"
ควนขนุน,"103,686.00","26,687.50","130,373.50","44,571,367.91"
ปากพะยูน,"76,457.25","36,124.75","112,582.00","45,146,922.58"
สะเดา,0,40,40,0
ศรีบรรพต,"80,257.00","27,003.00","107,260.00","17,230,486.61"
ป่าบอน,"178,434.10","10,963.00","189,397.10","47,966,682.09"
บางแก้ว,"48,024.00","10,363.00","58,387.00","18,028,892.95"
ศรีนครินทร์,"71,783.00","12,094.00","83,877.00","18,271,948.36"
เมืองพิจิตร,"8,967.50",761.5,"9,729.00","32,200.00"
วังทรายพูน,"1,239.00",596,"1,835.00","1,713,006.00"
โพธิ์ประทับช้าง,"5,870.75","6,278.25","12,149.00","13,620,000.00"
ตะพานหิน,"5,244.51","1,315.25","6,559.76","3,624,240.00"
มะขาม,1,0,1,0
บางมูลนาก,329,296,625,"2,100,034.00"
โพทะเล,"6,814.00","2,841.00","9,655.00","1,722,349.66"
สามง่าม,"1,049.00",366,"1,415.00",0
ทับคล้อ,481.5,993.5,"1,475.00","668,900.00"
สากเหล็ก,"17,682.75","6,842.50","24,525.25","3,569,110.00"
มะขาม,1,0,1,0
สะเดา,31,0,31,0
บึงนาราง,"8,948.00","1,220.00","10,168.00","2,301,640.00"
มะขาม,0,0,0,0
ดงเจริญ,812.25,"1,454.25","2,266.50","226,845.00"
มะขาม,0,2,2,0
สะเดา,7,4,11,0
วชิรบารมี,149.5,302,451.5,"5,000.00"
เมืองพิษณุโลก,"2,929.00","1,090.47","4,019.47","2,976,479.09"
มะขาม,0,20,20,0
นครไทย,"63,319.25","40,198.00","103,517.25","89,299,312.00"
มะขาม,788,"1,033.00","1,821.00","1,608,500.00"
ชาติตระการ,"22,280.00","17,719.00","39,999.00","35,400.00"
มะขาม,"1,034.00",894.5,"1,928.50",0
สะเดา,0,9,9,0
บางระกำ,"8,231.00","5,643.50","13,874.50",0
มะขาม,0,2,2,0
บางกระทุ่ม,"3,482.00","4,861.75","8,343.75",0
พรหมพิราม,"4,757.50",810.75,"5,568.25",100
มะขาม,0,23,23,0
วัดโบสถ์,"12,765.56",14.5,"12,780.06",0
วังทอง,"46,555.50","46,263.05","92,818.55","10,974,500.00"
มะขาม,65,0,65,"28,000.00"
เนินมะปราง,"74,209.00","15,501.00","89,710.00","4,126,500.00"
มะขาม,424,372,796,0
สะเดา,1,6,7,0
เมืองเพชรบุรี,"1,696.50","1,031.00","2,727.50","2,402,360.00"
เขาย้อย,"2,076.70",668.95,"2,745.65","838,062.00"
หนองหญ้าปล้อง,"10,441.00","6,094.00","16,535.00","37,129,348.00"
สะเดา,62,62,124,"2,400.00"
ชะอำ,"11,960.36","4,572.00","16,532.36","13,918,236.00"
ท่ายาง,"55,119.00","49,395.50","104,514.50","334,104,654.59"
บ้านลาด,"8,147.00","1,217.00","9,364.00","17,606,532.01"
มะขาม,2,0,2,"22,000.00"
บ้านแหลม,"5,447.00",23,"5,470.00","1,766,550.00"
แก่งกระจาน,"27,896.00","30,096.00","57,992.00","10,723,289.53"
มะขาม,40,57,97,"6,000.00"
สะเดา,19,342,361,0
เมืองเพชรบูรณ์,"42,984.75","10,963.25","53,948.00","5,683,749.44"
มะขาม,"33,366.00",941.25,"34,307.25","3,142,460.00"
สะเดา,225.25,159,384.25,"1,000.00"
ชนแดน,"21,874.00","16,032.00","37,906.00","11,515,950.00"
มะขาม,"16,855.00","3,973.00","20,828.00","10,157,940.00"
สะเดา,0,3,3,0
หล่มสัก,"7,812.00","2,019.25","9,831.25","2,436,070.00"
มะขาม,"5,771.00",885,"6,656.00","1,034,390.00"
สะเดา,0,15,15,0
หล่มเก่า,"35,601.00","16,315.50","51,916.50","18,729,893.00"
มะขาม,"21,982.00","2,327.00","24,309.00","16,313,777.00"
วิเชียรบุรี,203,"9,449.82","9,652.82",0
มะขาม,0,11,11,0
ศรีเทพ,"3,879.00","3,229.50","7,108.50","4,494,000.00"
มะขาม,0,41,41,0
หนองไผ่,"42,517.00","21,086.50","63,603.50","88,438,840.93"
มะขาม,"4,970.00","4,692.50","9,662.50","1,794,100.00"
บึงสามพัน,"2,812.00","2,398.00","5,210.00","2,175,096.63"
มะขาม,335,23,358,"115,430.00"
น้ำหนาว,"22,418.00","21,886.00","44,304.00","14,133,048.00"
มะขาม,631,"1,390.00","2,021.00",0
วังโป่ง,"8,319.75","4,098.75","12,418.50","5,986,050.00"
มะขาม,"4,577.00",469,"5,046.00","3,803,100.00"
เขาค้อ,"7,403.00","4,344.50","11,747.50","5,328,445.00"
มะขาม,225,63,288,0
เมืองแพร่,"8,837.00","4,605.00","13,442.00","1,690,950.00"
มะขาม,143,198,341,0
ร้องกวาง,"6,834.75","14,542.00","21,376.75","296,990.00"
มะขาม,566,363,929,680
ลอง,"8,937.16","22,472.33","31,409.49","1,385,050.00"
สูงเม่น,932.5,"3,172.25","4,104.75","1,119,300.00"
มะขาม,247,86,333,"37,200.00"
เด่นชัย,"6,913.00","4,365.00","11,278.00","4,597,898.00"
มะขาม,140,0,140,"2,800.00"
สอง,"4,025.00","7,142.25","11,167.25","856,845.75"
มะขาม,415,47,462,"155,500.00"
วังชิ้น,"19,044.25","24,669.00","43,713.25","32,760,000.00"
มะขาม,2,59,61,0
หนองม่วงไข่,891,"1,922.75","2,813.75","244,058.00"
มะขาม,84,125,209,0
เมืองภูเก็ต,"13,432.50","1,697.90","15,130.40","4,759,833.50"
กะทู้,"9,307.24","2,194.00","11,501.24","3,556,166.33"
ถลาง,"54,759.50","9,340.45","64,099.95","21,471,315.00"
เมืองมหาสารคาม,0,147.75,147.75,0
แกดำ,819,341,"1,160.00","2,397,680.00"
โกสุมพิสัย,"3,278.00","2,466.25","5,744.25","54,532,278.50"
กันทรวิชัย,473.7,"1,288.00","1,761.70","44,000.00"
เชียงยืน,"1,375.25","1,460.00","2,835.25","312,162.50"
บรบือ,"4,257.11","1,570.75","5,827.86","10,316,258.00"
นาเชือก,40,"1,045.00","1,085.00","133,600.00"
พยัคฆภูมิพิสัย,181,189,370,"1,133,500.00"
วาปีปทุม,"2,438.50","1,888.25","4,326.75","351,489.00"
นาดูน,"1,461.25","1,410.25","2,871.50","434,030.00"
ยางสีสุราช,110,279,389,"300,000.00"
กุดรัง,125.25,353.5,478.75,"1,133.00"
ชื่นชม,164,555,719,"19,000.00"
เมืองมุกดาหาร,"58,873.25","10,333.00","69,206.25","16,481,968.00"
มะขาม,133,46,179,0
นิคมคำสร้อย,"36,188.00","10,025.00","46,213.00","98,080,822.20"
มะขาม,90,22,112,"68,380.00"
ดอนตาล,"20,006.00","18,653.50","38,659.50","261,144,841.50"
ดงหลวง,"37,661.00","37,540.00","75,201.00","8,742,717.00"
มะขาม,124,7,131,"25,500.00"
คำชะอี,"19,068.00","17,331.00","36,399.00","4,460,127.50"
หนองสูง,"5,273.75","5,543.50","10,817.25","417,780.50"
มะขาม,97,22,119,"2,700.00"
เมืองแม่ฮ่องสอน,899.2,"1,960.20","2,859.40",0
ขุนยวม,"3,034.50","1,305.00","4,339.50","6,225,535.00"
ปาย,706.5,746.25,"1,452.75","8,400.00"
แม่สะเรียง,"2,586.50","4,427.50","7,014.00","921,250.00"
มะขาม,13.5,0,13.5,0
แม่ลาน้อย,"2,203.00","2,309.50","4,512.50","203,980.00"
มะขาม,43,0,43,"2,500.00"
สบเมย,675,692.42,"1,367.42","60,600.00"
ปางมะผ้า,"1,757.50","3,738.25","5,495.75","526,550.00"
มะขาม,6,4,10,0
เมืองยโสธร,"18,134.50","12,472.00","30,606.50","2,177,073.15"
ทรายมูล,"5,330.00","3,132.25","8,462.25",0
กุดชุม,"6,642.00","7,557.00","14,199.00","233,350.00"
มะขาม,40,0,40,"20,000.00"
คำเขื่อนแก้ว,"3,199.25","3,728.50","6,927.75","777,362.49"
ป่าติ้ว,"6,291.50","3,472.25","9,763.75","1,795,750.00"
มหาชนะชัย,413,"1,432.00","1,845.00","218,570.00"
ค้อวัง,10,42,52,"3,020.00"
เลิงนกทา,"24,915.00","24,204.00","49,119.00","6,733,612.50"
ไทยเจริญ,"7,168.75","4,809.00","11,977.75","3,335,692.50"
เมืองยะลา,"57,561.40","15,394.00","72,955.40","38,804,091.25"
เบตง,"295,722.00","42,426.00","338,148.00","127,873,305.00"
ธารโต,"108,926.29","22,303.71","131,230.00","3,384,805.00"
ยะหา,"153,337.00","44,083.00","197,420.00","253,225,233.21"
รามัน,"160,204.00","18,391.50","178,595.50","45,270,855.00"
กาบัง,"110,654.00","16,336.00","126,990.00","5,063,688.06"
เมืองร้อยเอ็ด,188,385.25,573.25,0
เกษตรวิสัย,643,"2,665.50","3,308.50","384,542.50"
ปทุมรัตต์,143.5,607,750.5,"209,350.00"
จตุรพักตรพิมาน,616.2,"3,533.30","4,149.50","451,220.00"
ธวัชบุรี,112,631.25,743.25,"22,000.00"
พนมไพร,0,142.25,142.25,0
โพนทอง,"10,200.50","20,098.20","30,298.70","536,000.00"
โพธิ์ชัย,"14,045.75","10,920.00","24,965.75","9,568,365.00"
หนองพอก,"9,172.00","12,808.50","21,980.50","555,562.50"
มะขาม,5,0,5,0
เสลภูมิ,"1,903.00","1,057.00","2,960.00","3,500.00"
สุวรรณภูมิ,"7,783.25","12,052.00","19,835.25","16,805.00"
มะขาม,0,7,7,0
เมืองสรวง,52.25,650.75,703,"22,000.00"
โพนทราย,22.5,40,62.5,"177,000.00"
อาจสามารถ,292,"1,239.00","1,531.00","210,071.00"
เมยวดี,956,"1,710.75","2,666.75","81,357.50"
ศรีสมเด็จ,30,52.75,82.75,"3,000.00"
จังหาร,126,69.5,195.5,"18,524.17"
เชียงขวัญ,0,25.25,25.25,0
หนองฮี,18,531,549,0
ทุ่งเขาหลวง,0,478,478,0
เมืองระนอง,"74,402.00","22,191.00","96,593.00","24,447,468.90"
ละอุ่น,"86,826.00","14,034.00","100,860.00","25,029,709.02"
กะเปอร์,"52,540.00","14,701.00","67,241.00","14,414,750.00"
กระบุรี,"269,769.00","43,125.00","312,894.00","88,999,001.01"
เมืองระยอง,"94,498.75","30,832.50","125,331.25","38,951,277.56"
สะเดา,1,0,1,80
บ้านฉาง,"8,124.00","10,534.25","18,658.25","5,974,751.00"
แกลง,"217,403.00","68,063.26","285,466.26","115,328,730.06"
วังจันทร์,"116,221.00","19,190.00","135,411.00","81,793,148.17"
บ้านค่าย,"84,930.00","39,402.00","124,332.00","23,770,178.46"
มะขาม,45,0,45,"8,000.00"
ปลวกแดง,"78,571.00","12,839.00","91,410.00","43,785,908.29"
เขาชะเมา,"120,467.50","18,976.00","139,443.50","40,615,928.00"
มะขาม,10,0,10,"1,000.00"
สะเดา,55,8,63,920
นิคมพัฒนา,"25,466.00","4,435.00","29,901.00","6,670,538.00"
เมืองราชบุรี,"19,168.25","2,146.75","21,315.00","6,974,750.00"
จอมบึง,"9,709.75","11,657.65","21,367.40","1,110,400.00"
สะเดา,0,24,24,0
สวนผึ้ง,"10,991.00","14,767.00","25,758.00","5,929,390.00"
มะขาม,20,110,130,"6,000.00"
ดำเนินสะดวก,"62,332.00","15,249.00","77,581.00","204,173,530.00"
บ้านโป่ง,"4,031.00",895.5,"4,926.50","1,593,967.00"
สะเดา,2,0,2,50
บางแพ,"10,943.00","2,371.00","13,314.00","45,549,740.00"
โพธาราม,"4,784.00","5,133.50","9,917.50","602,250.00"
ปากท่อ,"23,056.00","16,607.50","39,663.50","23,638,916.00"
มะขาม,21,46,67,"1,200.00"
วัดเพลง,"8,079.00",35,"8,114.00","71,156,000.00"
บ้านคา,"11,705.00","11,021.75","22,726.75","4,092,548.65"
มะขาม,597,71,668,0
สะเดา,7,13.5,20.5,650
เมืองลพบุรี,"3,471.50","1,741.25","5,212.75","1,788,289.50"
มะขาม,60,50,110,"5,000.00"
สะเดา,0,6,6,0
พัฒนานิคม,"1,918.00","3,796.00","5,714.00","298,750.00"
โคกสำโรง,864,689,"1,553.00","2,564,595.00"
สะเดา,0,50,50,0
ชัยบาดาล,"2,721.00","3,552.00","6,273.00","4,581,305.00"
มะขาม,20,40,60,0
ท่าวุ้ง,861.5,503.5,"1,365.00","683,220.00"
บ้านหมี่,"1,864.00","2,831.00","4,695.00",0
ท่าหลวง,"3,397.00","1,551.00","4,948.00","8,625,807.00"
สระโบสถ์,662,"1,359.00","2,021.00",0
มะขาม,0,3,3,0
โคกเจริญ,"1,228.00","2,257.00","3,485.00","428,965.00"
ลำสนธิ,341,986.75,"1,327.75","317,400.00"
มะขาม,0,18,18,0
สะเดา,15,20,35,0
หนองม่วง,"4,456.00",901,"5,357.00","5,836,200.00"
มะขาม,0,94,94,0
เมืองลำปาง,"4,655.30","6,377.00","11,032.30",0
มะขาม,30,0,30,0
แม่เมาะ,"2,451.00","18,065.00","20,516.00","11,800.00"
มะขาม,187,477,664,0
เกาะคา,"4,830.75","4,021.00","8,851.75","51,600.00"
มะขาม,655,390,"1,045.00",0
เสริมงาม,"2,582.00","1,311.00","3,893.00","140,835.00"
มะขาม,45,0,45,"12,000.00"
งาว,"9,107.75","6,997.25","16,105.00","173,628.76"
มะขาม,82,125,207,0
แจ้ห่ม,"4,070.00","7,184.00","11,254.00","489,690.00"
มะขาม,290,185,475,"55,890.00"
วังเหนือ,"9,140.00","1,544.53","10,684.53","5,610,600.00"
มะขาม,760,118,878,"157,000.00"
เถิน,"14,128.00","19,647.00","33,775.00","241,150.00"
มะขาม,437,259,696,0
แม่พริก,"1,562.50","3,178.50","4,741.00",218.33
มะขาม,0,150,150,0
แม่ทะ,"2,049.50",572.5,"2,622.00",0
สบปราบ,"3,043.00","1,188.00","4,231.00","401,760.00"
มะขาม,514,338,852,"296,217.00"
ห้างฉัตร,"3,139.00","1,970.13","5,109.13","705,575.00"
เมืองปาน,"6,918.00","3,652.00","10,570.00",0
เมืองลำพูน,"44,304.00",217,"44,521.00","38,506,260.00"
มะขาม,7,0,7,0
แม่ทา,"28,479.00",169,"28,648.00","16,271,900.00"
บ้านโฮ่ง,"50,628.00",608,"51,236.00","37,356,200.00"
ลี้,"83,182.00","4,039.00","87,221.00","27,424,903.00"
มะขาม,96,6,102,"60,000.00"
ทุ่งหัวช้าง,"13,191.00",151,"13,342.00","5,594,900.00"
ป่าซาง,"49,317.00",379,"49,696.00","51,087,500.00"
มะขาม,0,2,2,0
บ้านธิ,"14,706.00",0,"14,706.00","10,224,600.00"
เวียงหนองล่อง,"19,994.00",108,"20,102.00","15,968,740.00"
มะขาม,0,1,1,0
เมืองเลย,"99,859.00","157,439.00","257,298.00","6,889,816.00"
มะขาม,"6,909.00",100,"7,009.00",0
นาด้วง,"44,298.13","56,700.11","100,998.24","179,182.50"
มะขาม,"2,115.00",335,"2,450.00",0
เชียงคาน,"93,493.33","30,465.45","123,958.78","133,510,403.50"
มะขาม,570.46,422.75,993.21,0
ปากชม,"266,023.00","94,279.00","360,302.00","294,462,411.50"
ด่านซ้าย,"26,762.00","31,579.50","58,341.50","34,055,650.00"
มะขาม,"1,853.00",536,"2,389.00","493,000.00"
นาแห้ว,"7,858.95","4,005.62","11,864.57","18,400,988.50"
มะขาม,53,10,63,0
ภูเรือ,"29,838.90","18,986.50","48,825.40","22,650,558.00"
มะขาม,493.5,726,"1,219.50","655,000.00"
ท่าลี่,"44,388.75","17,470.00","61,858.75","94,903,571.50"
มะขาม,"8,249.75",0,"8,249.75","10,711,175.00"
วังสะพุง,"119,242.75","48,878.75","168,121.50","20,201,554.00"
มะขาม,"4,179.00","5,870.00","10,049.00",0
ภูกระดึง,"7,693.00","4,657.00","12,350.00","1,060,550.00"
มะขาม,"2,926.00",39,"2,965.00",0
ภูหลวง,"17,146.00","2,595.00","19,741.00","12,915,849.00"
มะขาม,"2,469.00",230,"2,699.00","1,226,620.00"
ผาขาว,"21,235.00","2,363.00","23,598.00","6,202,400.90"
มะขาม,304,80,384,0
เอราวัณ,"17,302.00","11,626.00","28,928.00","1,183,720.00"
มะขาม,845,0,845,0
หนองหิน,"7,430.00","9,569.50","16,999.50","3,904,536.85"
มะขาม,"1,229.00",0,"1,229.00","1,933,500.00"
เมืองศรีสะเกษ,12,0,12,0
ยางชุมน้อย,117,115,232,0
กันทรารมย์,"3,687.25","10,713.00","14,400.25",0
กันทรลักษ์,"97,232.00","17,273.00","114,505.00","83,058,760.19"
ขุขันธ์,"4,988.00","9,478.75","14,466.75","6,980,007.00"
มะขาม,0,2,2,0
ไพรบึง,"2,258.75","2,407.50","4,666.25","845,680.00"
ปรางค์กู่,"2,046.00","3,202.50","5,248.50","4,150.00"
ขุนหาญ,"73,186.50","27,376.25","100,562.75","98,955,450.00"
ราษีไศล,73,478,551,0
อุทุมพรพิสัย,"1,063.00","1,013.00","2,076.00","89,085.00"
บึงบูรพ์,528,580,"1,108.00",300
ห้วยทับทัน,523,0,523,0
โนนคูณ,"1,287.00","2,837.15","4,124.15",0
ศรีรัตนะ,"4,963.25","4,943.28","9,906.53","16,745,447.37"
น้ำเกลี้ยง,"13,162.00","3,411.00","16,573.00",0
วังหิน,638.5,"1,945.75","2,584.25","3,000.00"
ภูสิงห์,"23,477.00","4,361.00","27,838.00","7,239,125.00"
เมืองจันทร์,445,"1,311.00","1,756.00","338,725.00"
เบญจลักษ์,0,"12,810.00","12,810.00",0
พยุห์,346.5,912.25,"1,258.75",0
โพธิ์ศรีสุวรรณ,431,858.25,"1,289.25","171,125.00"
ศิลาลาด,0,20.25,20.25,0
เมืองสกลนคร,"8,515.00","6,213.00","14,728.00","1,379,000.00"
มะขาม,113,42,155,"40,000.00"
กุสุมาลย์,"5,708.00","4,895.00","10,603.00","63,884,300.00"
กุดบาก,"13,714.25","4,279.00","17,993.25","8,536,370.00"
มะขาม,23,1,24,"103,000.00"
พรรณานิคม,"15,390.00","13,454.00","28,844.00","7,056,908.50"
มะขาม,43,0,43,"9,700.00"
พังโคน,"3,163.00","6,588.00","9,751.00",0
วาริชภูมิ,"38,831.00","9,596.00","48,427.00","2,356,000.00"
นิคมน้ำอูน,"19,432.82","10,550.00","29,982.82","3,587,500.00"
วานรนิวาส,"9,551.00","24,345.00","33,896.00","45,626,203.00"
มะขาม,14,14,28,110
คำตากล้า,"31,186.00","43,087.00","74,273.00","11,025,638.00"
มะขาม,3,8,11,"3,300.00"
บ้านม่วง,"38,663.72","25,828.97","64,492.69","18,470,823.00"
มะขาม,38,53,91,"28,550.00"
อากาศอำนวย,"11,527.00","4,766.00","16,293.00","49,405,210.00"
สว่างแดนดิน,"49,838.00","13,751.31","63,589.31",0
ส่องดาว,"9,647.94","18,299.01","27,946.95","9,497,560.00"
มะขาม,7,7,14,"4,000.00"
เต่างอย,"4,301.00","9,924.00","14,225.00","8,266,000.00"
มะขาม,0,112,112,0
โคกศรีสุพรรณ,"11,988.07","1,874.93","13,863.00","8,560,575.39"
มะขาม,59,1,60,"59,100.00"
เจริญศิลป์,"13,585.87","6,738.00","20,323.87","9,584,622.50"
มะขาม,50,50,100,400
โพนนาแก้ว,"5,484.00","1,888.00","7,372.00","34,010,230.00"
มะขาม,4,4,8,0
ภูพาน,"19,748.00","8,817.00","28,565.00","1,609,100.00"
มะขาม,170,62,232,"111,800.00"
เมืองสงขลา,"23,243.50","5,068.00","28,311.50","1,677,288.82"
สทิงพระ,"7,205.25","4,065.55","11,270.80","8,519,227.66"
จะนะ,"154,386.00","43,366.00","197,752.00","2,076,369.96"
นาทวี,"282,733.50","49,646.00","332,379.50",0
เทพา,"291,269.75","3,184.50","294,454.25","486,944,568.32"
สะบ้าย้อย,"186,574.27","47,093.30","233,667.57","19,931,896.48"
ระโนด,"31,869.41","7,398.34","39,267.75","156,705,712.33"
สะเดา,"369,114.00","70,580.00","439,694.00","95,622,632.67"
หาดใหญ่,"198,726.83","90,296.85","289,023.68","123,055,389.94"
นาหม่อม,"37,641.75","1,761.00","39,402.75","2,859,452.64"
ควนเนียง,"46,423.00","5,721.00","52,144.00","62,272,718.31"
บางกล่ำ,"23,281.75","1,119.25","24,401.00","4,582,469.93"
สิงหนคร,"9,891.75","3,002.25","12,894.00","11,028,794.00"
มะขาม,8,0,8,"18,000.00"
คลองหอยโข่ง,"83,170.25","15,405.00","98,575.25","7,070,278.18"
เมืองสตูล,"110,607.33","18,034.00","128,641.33","53,476,798.71"
ควนโดน,"42,099.78","17,418.55","59,518.33","13,669,468.62"
ควนกาหลง,"123,953.25","10,587.20","134,540.45","133,234,961.40"
ท่าแพ,"56,210.68","19,198.10","75,408.78","25,681,140.18"
สะเดา,0.5,0,0.5,0
ละงู,"75,143.75","26,552.25","101,696.00","169,278,866.52"
ทุ่งหว้า,"68,353.22","41,114.36","109,467.58","18,627,563.96"
มะนัง,"67,486.00","14,443.50","81,929.50","364,714,743.00"
เมืองสมุทรปราการ,230.25,18.8,249.05,"1,440.00"
บางบ่อ,"5,590.00",327,"5,917.00","2,465,212.00"
บางพลี,"2,557.00",21,"2,578.00","1,811,230.00"
พระประแดง,"1,462.00",144,"1,606.00","44,316.00"
พระสมุทรเจดีย์,148,110,258,"362,208.00"
บางเสาธง,"5,632.00","4,684.00","10,316.00","1,127,712.00"
เมืองสมุทรสงคราม,"24,884.00",198,"25,082.00","42,436,700.00"
มะขาม,0,7,7,0
บางคนที,"32,854.00","5,646.50","38,500.50","44,390,796.00"
อัมพวา,"31,194.00",891,"32,085.00","46,566,506.05"
เมืองสมุทรสาคร,"3,867.10","1,451.00","5,318.10","19,384,100.00"
กระทุ่มแบน,"4,995.00","3,126.00","8,121.00","8,279,440.00"
บ้านแพ้ว,"47,181.25","6,782.00","53,963.25","147,639,237.50"
เมืองสระแก้ว,"9,369.00","33,615.00","42,984.00","22,964,129.10"
คลองหาด,"6,161.00","4,776.00","10,937.00","25,435,849.00"
มะขาม,20,0,20,0
ตาพระยา,"1,343.00","5,647.00","6,990.00",0
วังน้ำเย็น,"4,041.00","16,599.00","20,640.00","1,267,395.37"
มะขาม,20,60,80,0
วัฒนานคร,"12,418.00","18,567.00","30,985.00","376,296,800.00"
อรัญประเทศ,"4,946.00","8,459.00","13,405.00","3,485,285.00"
เขาฉกรรจ์,"19,873.00","23,549.00","43,422.00","52,045,502.50"
โคกสูง,367,"1,167.00","1,534.00","450,000.00"
วังสมบูรณ์,"10,206.00","27,764.00","37,970.00",0
มะขาม,49,109,158,0
เมืองสระบุรี,615,154,769,0
แก่งคอย,"6,197.00","7,994.25","14,191.25",0
หนองแค,"4,775.75","2,872.00","7,647.75","42,307,461.00"
