พื้นที่,เนื้อที่ยืนต้น ให้ผลผลิต (ไร่),เนื้อที่ยืนต้น ยังไม่ให้ผลผลิต (ไร่),รวม (ไร่),ผลผลิตที่เก็บเกี่ยวได้ (กิโลกรัม)
ขลุง,"108,362.00","11,487.00","119,849.00","128,249,760.00"
ท่าใหม่,"169,735.00","14,191.00","183,926.00","210,807,624.76"
โป่งน้ำร้อน,"257,324.00","54,946.00","312,270.00","168,953,150.00"
มะขาม,102,277,379,"69,100.00"
มะขาม,"128,463.50","23,299.00","151,762.50","106,590,285.50"
แหลมสิงห์,"7,212.45",881.01,"8,093.46","6,687,502.50"
สอยดาว,"158,810.00","17,152.00","175,962.00","348,713,522.72"
มะขาม,461,80,541,"175,292.00"
แก่งหางแมว,"212,627.98","28,662.06","241,290.04","48,130,799.50"
นายายอาม,"69,092.00","14,813.00","83,905.00","55,496,349.00"
เขาคิชฌกูฏ,"119,620.50","11,394.00","131,014.50","32,233,475.00"
เมืองฉะเชิงเทรา,"9,463.25","2,681.00","12,144.25","12,110,648.00"
บางคล้า,"12,863.75","3,202.00","16,065.75","22,051,130.00"
มะขาม,17,0,17,0
สะเดา,30,0,30,0
บางน้ำเปรี้ยว,"3,850.69",87,"3,937.69","3,348,414.00"
บางปะกง,695.75,200.5,896.25,"405,042.50"
มะขาม,9,9,18,185
บ้านโพธิ์,990,526,"1,516.00","9,955,000.00"
พนมสารคาม,"10,959.00","3,784.00","14,743.00","23,789,669.71"
ราชสาส์น,"1,390.00",730,"2,120.00","866,300.00"
สนามชัยเขต,"63,981.00","31,662.71","95,643.71",0
แปลงยาว,"26,598.00","5,688.00","32,286.00","39,571,910.31"
ท่าตะเกียบ,"86,674.25","34,930.75","121,605.00","21,375,545.00"
มะขาม,15,36.5,51.5,"3,200.00"
คลองเขื่อน,"5,734.00","1,897.00","7,631.00","6,568,272.00"
เมืองชลบุรี,820,"2,253.87","3,073.87","113,070.00"
บ้านบึง,"43,359.00","58,498.00","101,857.00","17,500.00"
สะเดา,0,"4,534.00","4,534.00",0
หนองใหญ่,"73,477.00","31,068.00","104,545.00","132,710,151.00"
บางละมุง,"18,438.00","1,443.00","19,881.00","7,243,833.00"
พานทอง,"1,552.00",163,"1,715.00","837,224.03"
พนัสนิคม,"8,702.50","9,992.00","18,694.50","2,742,060.00"
ศรีราชา,"30,968.00","4,842.00","35,810.00",0
เกาะสีชัง,0.5,0,0.5,0
สัตหีบ,"14,273.00","5,455.25","19,728.25","2,047,321.22"
บ่อทอง,"118,748.00","109,518.00","228,266.00","51,874,249.16"
เกาะจันทร์,"24,714.00","30,526.00","55,240.00","58,669,800.00"
เมืองชัยนาท,"3,829.75","3,680.00","7,509.75","1,199,940.00"
มะขาม,4,4,8,450
มโนรมย์,"2,179.25","1,232.00","3,411.25","1,494,029.00"
วัดสิงห์,589.45,"1,029.30","1,618.75","445,995.00"
สรรพยา,"1,529.00",278,"1,807.00","8,389,280.00"
สรรคบุรี,"1,431.00",146,"1,577.00","1,054,060.00"
หันคา,"2,672.75","3,164.25","5,837.00","2,261,421.33"
หนองมะโมง,592,350,942,"1,595,200.00"
เนินขาม,"1,219.70",345.8,"1,565.50",900
เมืองชัยภูมิ,"13,683.25","25,914.75","39,598.00",0
บ้านเขว้า,"2,062.00",680,"2,742.00",0
คอนสวรรค์,"1,935.00",599,"2,534.00","494,447.00"
เกษตรสมบูรณ์,"15,291.00","2,303.00","17,594.00","1,598,158.50"
มะขาม,12,0,12,"7,500.00"
หนองบัวแดง,"18,524.00","7,222.00","25,746.00","4,781,120.00"
มะขาม,183,0,183,200
จัตุรัส,661,347,"1,008.00",0
มะขาม,26,17,43,0
บำเหน็จณรงค์,0,24,24,0
หนองบัวระเหว,"1,447.00","2,786.00","4,233.00","2,500.00"
มะขาม,40,8,48,"1,000.00"
เทพสถิต,"5,767.00","7,646.00","13,413.00",0
ภูเขียว,"4,162.00","8,598.00","12,760.00","961,420.00"
มะขาม,10,10,20,0
บ้านแท่น,"3,214.25","2,283.75","5,498.00","773,874.88"
แก้งคร้อ,"3,047.00","4,041.75","7,088.75","27,500.00"
คอนสาร,"22,173.70","12,272.72","34,446.42","16,675,202.75"
มะขาม,566,51,617,"438,750.00"
ภักดีชุมพล,"19,650.13","9,229.13","28,879.26","8,903,713.03"
มะขาม,"11,761.13","8,010.13","19,771.26","6,727,165.00"
เนินสง่า,678,851,"1,529.00",840
ซับใหญ่,762,508,"1,270.00","76,646.00"
เมืองชุมพร,"355,307.00","50,104.00","405,411.00","328,924,684.00"
ท่าแซะ,"362,330.00","93,062.00","455,392.00","500,709,947.50"
ปะทิว,"313,958.00","80,594.00","394,552.00","395,356,097.00"
หลังสวน,"198,806.60",217,"199,023.60","196,909,161.50"
ละแม,"124,094.75","11,468.75","135,563.50","166,399,019.08"
พะโต๊ะ,"116,193.00","48,099.00","164,292.00","98,347,328.72"
สวี,"236,496.00","113,367.00","349,863.00","194,697,820.00"
